pira,nettfa,p401k,e401k,inc,incsq,marr,male,age,agesq,fsize
0,-2.7,0,1,48.615,2363.418,1,0,36,1296,4
0,0.268,0,0,29.205,852.932,1,0,34,1156,6
0,2,0,0,24.441,597.3625,0,0,36,1296,2
0,-1.98,0,0,18.525,343.1756,1,0,28,784,5
0,-0.95,0,0,15.36,235.9296,1,0,38,1444,4
0,0.33,0,0,53.475,2859.575,1,0,54,2916,2
0,5.64,1,1,31.056,964.4751,1,0,47,2209,6
0,0,0,0,36.072,1301.189,1,0,46,2116,5
0,0.899,0,1,19.164,367.2589,1,0,51,2601,2
0,24.999,0,0,44.376,1969.229,0,1,48,2304,1
1,26.53,0,0,28.329,802.5323,0,0,54,2916,2
0,2.999,0,1,37.38,1397.265,0,1,48,2304,1
0,1.7,0,0,17.817,317.4455,0,1,42,1764,1
1,257.6,1,1,71.028,5044.977,1,0,60,3600,2
1,27,0,0,28.476,810.8826,0,0,58,3364,1
0,-4,0,0,34.041,1158.79,1,0,30,900,2
0,10.5,0,0,25.86,668.7396,0,0,26,676,1
1,30.9,1,1,77.355,5983.796,1,0,33,1089,4
0,0.145,0,0,15.414,237.5914,0,0,50,2500,4
0,14.299,0,0,73.902,5461.506,1,0,44,1936,4
0,1.031,1,1,10.545,111.197,0,1,25,625,1
0,-1.301,0,0,24.177,584.5273,0,1,25,625,1
0,8.412,1,1,33.42,1116.896,0,0,46,2116,2
0,-1.2,0,0,53.226,2833.007,1,0,51,2601,8
1,1.6,0,0,31.869,1015.633,0,1,36,1296,1
0,-3.8,0,0,26.946,726.0869,0,0,64,4096,2
1,13.6,1,1,90.726,8231.207,1,0,62,3844,2
0,0.1,0,0,28.8,829.4399,1,0,31,961,8
0,-1.886,0,0,23.193,537.9153,1,0,37,1369,7
0,18.25,1,1,36.036,1298.593,0,1,64,4096,1
0,9.8,0,0,56.082,3145.191,1,0,28,784,2
0,1.93,0,0,16.032,257.025,0,1,25,625,2
0,-3,0,1,52.236,2728.6,1,0,38,1444,6
0,0.225,0,0,39.63,1570.537,1,0,41,1681,3
0,27.798,1,1,34.47,1188.181,1,0,50,2500,5
0,-24.8,0,0,31.548,995.2763,1,0,56,3136,6
0,-72.8,0,1,31.2,973.4401,1,0,28,784,2
0,25.57,1,1,19.806,392.2776,1,0,39,1521,4
0,17.95,1,1,74.529,5554.572,1,0,42,1764,4
0,3.6,1,1,26.682,711.9291,1,0,43,1849,5
0,-3,0,0,33.75,1139.063,0,1,25,625,1
1,778.628,1,1,146.577,21484.82,1,0,43,1849,5
1,14.299,0,0,23.718,562.5435,0,0,32,1024,1
0,-3.4,0,1,19.302,372.5672,0,0,31,961,1
1,27.96,0,0,29.4,864.36,1,0,53,2809,2
0,-1.025,0,0,16.977,288.2185,0,0,35,1225,2
0,-1.3,0,0,19.734,389.4307,1,0,49,2401,7
0,-0.5,0,0,14.28,203.9184,1,0,43,1849,4
1,4.232,0,0,30.075,904.5057,1,0,47,2209,3
0,-3.3,0,0,27,729,1,0,46,2116,3
0,10.2,1,1,33.96,1153.281,1,0,36,1296,13
0,5.9,0,0,64.5,4160.25,1,0,47,2209,3
0,-4,0,0,24.03,577.4409,0,0,31,961,2
0,2.5,0,0,21.111,445.6743,0,0,64,4096,1
0,41.999,0,0,51.798,2683.033,0,0,38,1444,2
0,-37.504,1,1,17.364,301.5085,1,0,27,729,2
0,-1.1,0,0,19.254,370.7165,0,0,28,784,1
0,7.559,0,0,27.603,761.9257,1,0,35,1225,4
0,-1,0,0,31.44,988.4736,0,1,33,1089,1
0,0.92,0,0,30.24,914.4576,0,0,45,2025,3
0,0.74,0,0,16.83,283.2489,0,1,28,784,1
0,-0.03,1,1,30.231,913.9134,1,0,34,1156,4
0,2.475,0,0,35.4,1253.16,0,1,33,1089,2
1,53.948,1,1,46.155,2130.284,1,0,55,3025,5
0,-2.6,0,0,27.33,746.9289,1,0,50,2500,4
0,0.583,0,1,24.678,609.0037,0,0,44,1936,3
0,20.249,1,1,36.027,1297.945,1,1,59,3481,2
0,0,0,0,13.59,184.6881,0,0,32,1024,4
0,0.05,0,0,15.741,247.7791,0,0,49,2401,2
0,1.1,0,0,27.465,754.3262,1,0,52,2704,4
0,53.699,0,0,54.963,3020.931,1,0,55,3025,2
0,19,0,0,18.549,344.0654,1,0,63,3969,2
1,14.5,1,1,21.576,465.5238,0,1,39,1521,1
0,-0.5,0,0,38.76,1502.338,1,0,47,2209,3
1,19.444,1,1,64.662,4181.175,1,0,62,3844,2
0,8,1,1,43.158,1862.613,1,0,46,2116,2
0,-3.151,0,0,17.88,319.6944,0,0,43,1849,3
0,13.2,1,1,23.7,561.6901,1,0,53,2809,2
0,-1.2,0,0,37.755,1425.44,1,0,56,3136,2
0,-9.968,1,1,40.971,1678.623,1,1,29,841,3
0,7.179,0,0,13.428,180.3112,1,0,28,784,2
1,83.9,1,1,92.991,8647.325,1,0,48,2304,5
0,22,0,0,35.061,1229.274,1,0,41,1681,3
0,0.015,0,0,17.136,293.6425,0,1,34,1156,3
0,0.826,0,0,16.956,287.5059,1,0,47,2209,2
1,94.399,1,1,56.7,3214.89,1,0,63,3969,2
0,-2.157,0,0,70.275,4938.576,1,0,41,1681,4
0,0.4,0,0,13.464,181.2793,0,0,27,729,2
0,-8.005,0,0,74.649,5572.474,1,0,39,1521,4
0,-9.456,0,0,24.012,576.5761,0,0,41,1681,3
0,2.9,0,0,20.559,422.6725,0,0,30,900,3
1,-15.718,0,0,39.528,1562.463,1,1,55,3025,2
0,-12.188,0,0,39.303,1544.726,0,0,34,1156,1
0,4.05,0,0,17.715,313.8212,0,1,31,961,1
0,44.043,1,1,55.08,3033.807,1,0,54,2916,2
0,7.955,0,1,20.76,430.9776,0,1,55,3025,1
0,0.028,0,0,14.283,204.0041,0,1,40,1600,1
0,-0.2,0,0,20.436,417.6301,1,0,31,961,4
0,0.866,0,0,26.388,696.3266,1,0,26,676,4
0,4.35,0,0,46.104,2125.579,1,0,39,1521,3
1,27.097,0,1,49.71,2471.084,1,0,42,1764,3
0,80.049,1,1,76.806,5899.162,1,0,52,2704,2
1,71.569,0,1,39.705,1576.487,1,0,39,1521,4
0,0,0,0,11.22,125.8884,0,0,30,900,3
0,0.3,0,0,18.348,336.6491,0,0,50,2500,4
0,0,0,0,13.95,194.6025,0,0,49,2401,6
0,0.2,0,0,15.216,231.5266,1,0,32,1024,10
0,-2.2,0,0,36.15,1306.823,1,0,32,1024,4
0,-10.43,0,0,47.34,2241.076,0,1,27,729,2
1,10.571,0,0,63.225,3997.4,1,0,40,1600,6
0,0.5,0,1,26.031,677.613,0,0,49,2401,2
0,0,0,0,20.4,416.16,1,0,36,1296,5
0,0,0,0,17.928,321.4132,0,0,36,1296,3
0,12.51,1,1,31.8,1011.24,1,0,38,1444,5
0,-15.1,0,0,30,900,1,1,42,1764,2
1,10.011,0,0,26.463,700.2903,0,0,43,1849,1
0,3.2,1,1,73.722,5434.933,1,0,42,1764,5
0,-4.7,0,0,33.414,1116.495,1,0,32,1024,4
0,5.1,0,1,34.08,1161.447,1,0,35,1225,6
1,28.08,1,1,48.9,2391.21,0,0,61,3721,1
0,-2.347,0,1,21,441,0,1,41,1681,1
1,48.684,0,1,39.609,1568.873,1,0,59,3481,2
1,132.425,1,1,80.85,6536.722,1,0,45,2025,5
0,-3.45,0,1,91.761,8420.081,1,0,35,1225,4
0,4,0,0,46.719,2182.665,1,0,41,1681,5
0,0,0,0,19.2,368.64,0,1,25,625,1
0,56.6,1,1,102.705,10548.32,1,0,35,1225,2
0,1.4,0,0,54.966,3021.261,1,0,33,1089,3
0,0,0,0,12.75,162.5625,0,1,38,1444,2
0,37.65,1,1,52.836,2791.643,1,0,50,2500,2
0,0,0,0,12.72,161.7984,1,0,32,1024,3
0,62.679,1,1,26.646,710.0093,0,0,28,784,1
1,11.4,0,0,59.664,3559.793,1,0,44,1936,5
1,189.4,0,0,39.15,1532.723,1,0,58,3364,2
0,-0.986,0,0,21.3,453.69,1,0,47,2209,6
1,10.95,0,0,30.87,952.957,0,0,48,2304,3
0,23,0,0,16.5,272.25,1,0,57,3249,2
0,-2.1,0,0,32.592,1062.238,1,0,57,3249,4
0,0.409,0,0,27.345,747.749,1,0,34,1156,5
0,-5.75,0,0,35.418,1254.435,1,0,57,3249,5
0,0.05,0,0,24.3,590.49,0,0,45,2025,1
0,6,0,1,52.365,2742.094,1,0,46,2116,2
0,-1.945,0,0,26.865,721.7282,1,1,29,841,4
1,40.2,0,0,39.48,1558.67,1,0,35,1225,3
1,18.576,1,1,45.693,2087.85,1,0,40,1600,2
0,-4.9,0,0,39.3,1544.49,1,0,42,1764,5
1,120,0,0,14.244,202.8916,0,0,60,3600,1
0,-7.5,0,0,43.518,1893.816,1,0,27,729,3
0,1.046,0,0,10.857,117.8745,0,1,27,729,1
0,1.6,0,0,51.222,2623.693,0,0,33,1089,3
0,3,0,0,34.764,1208.536,1,1,63,3969,2
0,-0.5,0,0,16.959,287.6077,1,0,43,1849,7
0,-6.001,0,0,23.64,558.8495,1,0,26,676,5
0,29.4,1,1,56.304,3170.141,1,0,45,2025,4
0,47.922,0,1,107.097,11469.77,1,0,54,2916,2
1,1.8,1,1,46.818,2191.925,1,0,39,1521,4
0,0,0,0,13.11,171.8721,0,0,30,900,3
0,4.245,0,0,29.16,850.3056,0,0,36,1296,3
0,30.1,1,1,42.54,1809.652,1,0,52,2704,2
0,-5.5,0,0,74.31,5521.976,1,0,49,2401,6
0,-4.88,0,0,27.729,768.8975,1,0,31,961,6
0,49.538,0,0,15,225,0,0,42,1764,3
0,21.948,1,1,54.723,2994.607,1,0,57,3249,2
1,61.366,0,0,61.581,3792.22,1,0,44,1936,4
1,21.998,0,1,72.03,5188.321,1,0,43,1849,2
1,-18.89,0,1,37.338,1394.126,1,0,48,2304,7
1,2.6,0,0,27.354,748.2413,0,0,39,1521,3
1,30.957,1,1,92.898,8630.039,0,1,27,729,1
0,-2.205,0,0,42.942,1844.016,1,0,33,1089,4
1,1.209,0,1,31.017,962.0543,1,0,31,961,5
0,5.249,1,1,23.892,570.8277,0,0,35,1225,1
1,38.307,1,1,44.46,1976.692,1,0,39,1521,2
0,-2.552,0,0,33.72,1137.038,1,1,30,900,2
1,3.3,0,0,52.821,2790.058,1,0,37,1369,5
1,45.1,0,1,86.4,7464.96,1,0,43,1849,4
0,-5.007,0,0,14.763,217.9462,1,0,31,961,4
1,371.901,1,1,107.301,11513.5,1,0,50,2500,3
0,-0.8,0,0,20.385,415.5482,0,0,27,729,1
0,-1.5,0,1,41.526,1724.409,1,0,35,1225,2
0,-1.2,0,0,27.375,749.3906,1,0,41,1681,4
0,-0.3,0,0,24.336,592.2409,1,0,42,1764,4
0,-6.46,1,1,34.425,1185.081,1,0,40,1600,4
1,59.16,0,0,43.131,1860.283,1,0,45,2025,2
1,138.999,1,1,57.063,3256.186,1,0,54,2916,4
1,83.7,0,1,41.535,1725.156,0,1,30,900,1
0,-2.48,0,0,61.722,3809.605,1,1,32,1024,3
1,80.802,0,0,99.153,9831.317,1,0,43,1849,2
0,-2,0,0,37.296,1390.992,1,0,28,784,3
0,37.1,1,1,27.06,732.2436,0,0,38,1444,3
0,-4.49,0,0,32.46,1053.651,0,0,26,676,1
0,4.02,1,1,28.491,811.7371,0,1,46,2116,3
0,-1.2,1,1,19.596,384.0032,0,1,41,1681,2
0,0.964,1,1,18.54,343.7316,0,0,37,1369,5
1,139.629,1,1,102.435,10492.93,1,0,54,2916,2
0,46,0,0,26.7,712.89,1,0,39,1521,4
1,46.85,1,1,43.788,1917.389,0,0,43,1849,3
1,38.8,1,1,45.87,2104.057,1,0,47,2209,2
0,-17.7,0,0,38.88,1511.655,0,1,61,3721,2
0,3.399,0,0,17.706,313.5024,0,0,43,1849,3
0,-0.74,0,0,21.63,467.8569,0,0,63,3969,2
1,12.818,1,1,43.437,1886.773,1,0,36,1296,3
0,2.2,1,1,57.15,3266.123,1,0,34,1156,4
1,61.749,1,1,22.902,524.5016,0,1,51,2601,1
1,3.6,0,0,40.74,1659.748,1,0,42,1764,5
0,-2.373,0,0,13.182,173.7651,1,0,32,1024,4
0,0.05,0,0,11.61,134.7921,0,0,44,1936,1
0,84.196,0,1,108.588,11791.35,1,0,62,3844,2
0,1.198,0,1,29.772,886.3719,1,0,53,2809,2
0,36.199,1,1,67.32,4531.982,1,0,45,2025,3
1,22.398,0,1,46.236,2137.768,1,0,57,3249,3
0,1.3,0,0,32.589,1062.043,1,0,31,961,4
1,10.05,0,0,60.498,3660.008,1,0,40,1600,2
1,3.1,0,0,30.21,912.644,0,1,30,900,2
1,23.969,1,1,55.125,3038.766,1,0,35,1225,4
0,-6.239,0,1,56.676,3212.169,1,0,56,3136,2
1,200,1,1,70.845,5019.014,1,0,57,3249,2
1,30.902,0,0,46.815,2191.644,0,0,44,1936,3
0,-4.5,0,1,14.43,208.2249,0,0,27,729,1
0,22.45,0,1,58.173,3384.098,1,0,31,961,2
1,45.584,1,1,50.646,2565.017,0,0,40,1600,2
0,-0.843,0,0,12.207,149.0108,0,1,32,1024,1
1,69.1,0,0,62.526,3909.501,1,0,52,2704,2
0,-14,0,1,44.703,1998.358,1,1,32,1024,5
0,-30.24,0,0,85.38,7289.744,1,0,25,625,4
0,4.999,0,0,34.647,1200.415,0,1,35,1225,1
0,-0.001,0,1,27.786,772.0618,1,1,41,1681,3
1,94.599,1,1,54.45,2964.802,1,0,63,3969,2
0,8.5,1,1,19.638,385.6511,0,1,52,2704,1
0,77.2,1,1,33.312,1109.689,0,0,36,1296,2
0,5.15,0,0,24.534,601.9172,1,0,25,625,3
0,0.015,0,0,18.36,337.0896,0,1,28,784,1
0,-1.2,0,0,28.74,825.9876,0,1,27,729,1
0,-1.501,0,0,36.168,1308.124,1,0,25,625,3
0,4.15,0,0,17.01,289.3401,1,0,47,2209,3
0,0,0,0,17.412,303.1778,0,0,39,1521,3
0,0.1,0,0,32.427,1051.51,1,0,37,1369,2
0,5.2,0,0,38.058,1448.411,0,1,28,784,1
1,36.5,0,1,58.317,3400.873,1,0,46,2116,3
0,11.4,0,0,15.822,250.3357,1,0,26,676,2
0,-3.073,0,0,43.275,1872.726,1,0,26,676,2
0,-7,0,0,17.445,304.328,1,0,34,1156,4
0,0.249,0,1,21.639,468.2463,1,0,42,1764,4
1,32.055,0,0,48.033,2307.169,0,0,61,3721,2
1,45.7,0,0,49.08,2408.847,1,0,54,2916,2
0,3,0,1,35.292,1245.525,0,1,61,3721,1
0,1.249,0,0,28.575,816.5306,0,0,27,729,1
0,12.599,0,0,33.366,1113.29,0,1,43,1849,1
0,60.398,1,1,35.472,1258.263,0,1,51,2601,2
0,-18.88,0,0,42.93,1842.985,1,1,35,1225,3
1,12.2,0,0,17.58,309.0564,1,0,32,1024,2
1,26,0,0,77.01,5930.541,1,0,36,1296,4
0,-2.382,0,0,37.662,1418.426,1,0,37,1369,11
0,-1.94,1,1,20.43,417.3849,1,0,57,3249,1
0,0,0,0,27.84,775.0656,0,0,40,1600,2
1,110.103,0,0,49.806,2480.638,0,0,37,1369,1
0,-0.312,0,0,24.678,609.0037,1,0,34,1156,3
0,-3.2,0,0,15.81,249.9561,1,1,60,3600,3
0,12.34,1,1,17.628,310.7464,1,0,27,729,4
1,-10.515,0,0,20.406,416.4048,1,0,37,1369,4
0,-6.656,0,0,37.644,1417.071,1,1,44,1936,3
0,-0.2,0,0,89.175,7952.181,1,1,43,1849,3
0,-0.101,0,0,30.165,909.9273,1,1,56,3136,3
0,-2.5,0,0,27.294,744.9625,0,0,34,1156,2
0,13.3,0,0,34.509,1190.871,0,1,39,1521,1
0,-19.175,0,0,28.716,824.6086,1,0,30,900,4
0,2.85,1,1,15,225,0,1,38,1444,1
0,5.513,1,1,29.325,859.9557,1,0,33,1089,4
1,35.883,0,0,56.913,3239.089,1,1,39,1521,3
0,16.6,1,1,51.051,2606.204,1,0,29,841,4
1,484.198,1,1,169.2,28628.64,1,0,49,2401,2
0,-0.369,0,0,25.704,660.6956,0,0,49,2401,1
1,13.5,0,0,25.8,665.64,0,0,37,1369,1
0,10.8,1,1,110.985,12317.67,1,0,36,1296,4
0,-8,0,0,35.625,1269.141,1,0,34,1156,5
1,16.069,0,0,45.762,2094.161,1,0,39,1521,4
1,9.02,0,1,46.911,2200.642,1,0,56,3136,4
0,0.1,0,0,15.906,253.0008,0,0,26,676,4
0,14.126,1,1,50.433,2543.487,1,0,29,841,2
1,4.73,0,1,53.844,2899.177,1,0,44,1936,4
0,4.591,0,0,28.356,804.0628,1,0,26,676,2
0,5.8,1,1,50.4,2540.16,0,1,39,1521,2
0,24.68,1,1,33.15,1098.923,0,0,43,1849,2
0,-1.422,0,0,16.488,271.8542,1,0,27,729,6
1,9.499,0,0,41.775,1745.151,0,1,50,2500,1
1,-0.071,1,1,36.147,1306.606,1,0,34,1156,4
0,0.5,0,0,34.95,1221.503,0,0,41,1681,3
0,0,0,1,31.005,961.31,0,1,27,729,1
0,3.22,0,1,48.528,2354.967,1,0,46,2116,3
0,-57,0,0,34.68,1202.702,1,1,45,2025,4
0,-9.55,0,0,12.6,158.76,0,0,42,1764,1
0,-4,0,0,20.07,402.8049,1,1,52,2704,2
0,0.09,0,0,38.319,1468.346,1,0,31,961,3
0,1.9,0,0,20.73,429.7329,1,0,28,784,4
0,15.15,0,0,28.248,797.9495,0,1,31,961,1
0,20.299,0,0,31.098,967.0856,0,0,55,3025,1
0,1.4,0,1,24.996,624.8,0,1,44,1936,1
0,0.892,0,0,22.338,498.9862,0,1,26,676,1
0,1.4,0,0,86.79,7532.504,1,1,27,729,4
0,0,0,0,14.655,214.769,0,0,27,729,3
0,-1.5,0,1,16.224,263.2182,0,0,42,1764,6
1,237.95,0,0,25.185,634.2842,0,0,59,3481,1
0,0,0,0,24,576,0,1,40,1600,1
1,1.9,0,0,48.027,2306.593,0,1,39,1521,1
0,-10.1,0,0,17.4,302.76,0,0,35,1225,1
0,0,0,0,18.75,351.5625,1,0,35,1225,7
0,13.5,1,1,30.576,934.8918,0,0,31,961,1
0,12,1,1,91.776,8422.834,1,1,42,1764,5
0,0,0,0,17.85,318.6225,0,1,25,625,1
0,4.8,0,1,29.31,859.076,0,0,54,2916,1
0,10.901,1,1,66.852,4469.189,1,0,42,1764,3
0,2.16,1,1,23.07,532.2249,0,0,30,900,1
0,-1.29,1,1,66.15,4375.823,1,1,28,784,4
1,249.6,1,1,81.711,6676.688,1,0,54,2916,5
0,22.998,0,0,31.587,997.7386,1,0,54,2916,2
0,27.343,1,1,64.878,4209.155,0,1,33,1089,1
0,-5,0,0,36.06,1300.324,0,0,28,784,1
0,-9,0,0,33.6,1128.96,1,0,39,1521,2
0,-3.3,0,0,60.03,3603.601,1,0,39,1521,5
0,-15.8,0,0,60.225,3627.051,0,1,37,1369,1
0,53.948,1,1,65.7,4316.49,1,0,43,1849,5
0,20.6,1,1,32.49,1055.6,0,0,61,3721,3
0,-9,0,0,109.608,12013.91,1,1,33,1089,4
1,60.196,1,1,97.887,9581.865,1,0,44,1936,4
0,20.1,1,1,50.268,2526.872,0,1,41,1681,1
1,55,0,0,55.5,3080.25,1,0,63,3969,2
0,8.6,0,1,50.484,2548.634,1,0,36,1296,4
0,1,0,0,70.905,5027.519,1,0,41,1681,6
0,12.999,0,0,16.14,260.4996,0,1,35,1225,1
0,-2,0,0,17.967,322.813,0,0,30,900,4
0,3.4,1,1,24.48,599.2704,1,0,44,1936,3
0,-1.829,0,0,25.005,625.25,1,0,60,3600,3
1,-0.75,0,0,31.47,990.3608,1,0,31,961,2
0,-5.8,0,0,26.61,708.0921,0,0,25,625,1
0,-1.9,0,0,22.011,484.4841,1,0,31,961,7
0,48.599,0,0,42.459,1802.767,1,0,37,1369,5
0,47.5,0,0,27,729,1,0,48,2304,5
1,32.5,0,0,101.949,10393.6,1,0,53,2809,3
0,15.999,0,0,22.74,517.1076,1,1,55,3025,7
0,2.999,0,0,20.58,423.5364,1,0,63,3969,2
0,-9.38,1,1,96.864,9382.634,1,0,42,1764,3
0,-0.301,0,0,47.403,2247.044,0,0,46,2116,3
0,-0.3,0,0,11.094,123.0768,1,0,51,2601,3
0,62,1,1,51.051,2606.204,1,0,55,3025,2
1,36.5,1,1,34.743,1207.076,1,0,56,3136,4
1,5.3,0,0,54.621,2983.453,0,0,37,1369,4
0,-0.9,0,0,47.385,2245.338,1,0,36,1296,6
0,0.899,0,0,46.746,2185.188,1,0,51,2601,3
0,68.248,0,0,103.455,10702.94,0,1,44,1936,1
0,5.59,1,1,24.21,586.1241,1,0,44,1936,6
0,-1.184,0,0,34.89,1217.312,1,0,44,1936,5
1,23.397,0,0,63.432,4023.618,1,0,26,676,2
0,-2,0,0,44.268,1959.656,1,0,44,1936,3
0,-4.199,0,0,44.508,1980.962,1,0,27,729,3
1,63.249,0,1,26.19,685.9161,1,0,50,2500,2
0,0.599,0,0,38.949,1517.025,1,0,60,3600,2
0,2.8,0,0,12.87,165.6369,0,1,31,961,1
0,27.999,1,1,17.484,305.6902,0,0,57,3249,3
0,-4.9,0,0,36.873,1359.618,1,0,29,841,2
0,-0.275,0,0,17.04,290.3616,1,0,27,729,3
0,0.16,0,0,22.137,490.0467,0,0,50,2500,1
0,0.1,0,0,25.02,626.0004,0,1,36,1296,1
0,6.6,0,1,39.288,1543.547,0,1,27,729,1
0,-2.4,0,0,26.925,724.9556,1,0,39,1521,5
0,4.1,0,0,23.661,559.8429,0,0,33,1089,1
0,-1.5,0,0,28.8,829.4399,1,0,42,1764,4
0,-3.452,0,1,23.661,559.8429,1,0,41,1681,4
0,-26.28,0,0,44.775,2004.801,1,0,34,1156,4
1,44.75,0,0,68.04,4629.442,1,1,31,961,5
1,18.449,0,0,29.526,871.7846,0,0,44,1936,4
0,0.449,0,0,32.022,1025.408,1,0,35,1225,3
0,15,0,0,52.2,2724.84,1,0,32,1024,4
0,-4,0,0,53.04,2813.242,1,0,30,900,4
0,-0.7,1,1,43.47,1889.641,1,0,41,1681,5
0,89.664,1,1,42.84,1835.266,1,0,47,2209,2
1,10.2,1,1,43.26,1871.427,1,0,38,1444,4
0,1.05,1,1,68.676,4716.394,1,0,39,1521,4
0,-1.55,0,0,23.748,563.9675,0,1,31,961,1
0,0.08,0,0,19.68,387.3024,1,0,48,2304,4
0,-15.9,0,0,29.604,876.3969,0,0,28,784,3
1,18.5,1,1,24.06,578.8835,0,0,43,1849,1
0,-2,0,0,15.54,241.4916,0,1,46,2116,1
0,37.4,1,1,49.38,2438.385,1,0,56,3136,4
0,1.7,1,1,54.597,2980.833,1,0,42,1764,4
0,-0.5,0,0,18.468,341.067,0,0,55,3025,1
0,11.899,0,0,39.681,1574.582,0,0,49,2401,3
0,-315.701,0,0,89.118,7942.017,1,0,35,1225,3
0,0,0,0,10.797,116.5752,0,1,57,3249,2
0,-1.2,0,0,42.024,1766.016,1,0,44,1936,4
0,0.749,0,0,44.475,1978.026,1,0,37,1369,2
0,-9.1,0,0,29.364,862.2445,0,0,30,900,1
1,18.549,1,1,33.54,1124.932,1,0,55,3025,2
0,0.84,0,0,27.561,759.6088,1,0,50,2500,4
1,123.639,1,1,29.466,868.2451,0,1,43,1849,2
0,9,0,0,139.137,19359.1,1,1,46,2116,2
0,0.5,0,0,20.43,417.3849,0,0,49,2401,1
0,2,0,0,18.015,324.5402,0,1,31,961,1
0,-11.4,1,1,34.671,1202.078,0,1,33,1089,1
0,9.145,1,1,65.556,4297.589,1,0,34,1156,4
0,0.499,0,0,20.43,417.3849,0,0,30,900,1
0,1.149,0,1,22.527,507.4658,0,0,43,1849,1
0,68.449,1,1,54.075,2924.106,0,1,41,1681,1
0,0.299,0,0,12.243,149.8911,0,0,36,1296,2
1,4.947,1,1,10.368,107.4954,1,0,40,1600,3
0,1,1,1,14.04,197.1216,0,0,40,1600,2
0,4.5,0,1,43.314,1876.103,1,1,30,900,2
1,5.071,0,0,29.616,877.1074,0,0,62,3844,2
0,99.35,0,0,26.88,722.5344,1,0,62,3844,3
0,-3.05,0,0,18.999,360.962,0,1,25,625,2
0,2.4,0,0,25.5,650.25,1,0,28,784,4
0,-9.8,0,1,52.962,2804.974,1,0,33,1089,3
0,-0.064,0,1,20.568,423.0427,1,0,47,2209,2
0,-2.32,0,0,35.493,1259.753,1,0,26,676,4
0,53.525,1,1,50.163,2516.326,0,0,55,3025,3
0,51.2,1,1,64.104,4109.322,1,0,36,1296,5
1,36.5,0,0,38.94,1516.323,1,0,61,3721,3
0,-3.2,0,1,35.652,1271.065,0,0,44,1936,2
0,-0.6,0,0,12.375,153.1406,1,0,26,676,4
0,-4.108,0,0,13.728,188.458,1,0,44,1936,5
0,0.374,0,0,17.229,296.8384,0,0,33,1089,2
0,-0.15,0,0,15.888,252.4285,0,1,27,729,2
1,72.1,0,1,119.364,14247.76,1,0,50,2500,2
1,6.599,0,1,65.844,4335.433,1,0,40,1600,3
0,-39.915,0,0,34.686,1203.119,1,0,44,1936,5
1,20.75,0,0,21.948,481.7147,0,0,54,2916,1
0,0,0,0,23.634,558.566,0,0,48,2304,2
0,1.6,0,0,34.68,1202.702,1,0,40,1600,5
1,42.499,0,0,35.616,1268.5,0,0,42,1764,1
1,21.299,1,1,59.34,3521.236,1,0,63,3969,2
