assignment,female,age,white,black,hispanic,educ,educmis,geddegree,hsdegree,english,cohabmarried,haschild,everwkd,mwearn,hhsize,hhsizemis,educmum,educmummis,educdad,educdadmis,welfarechild,welfarechildmis,health,healthmis,smoke,smokemis,alcohol,alcoholmis,everwkdy1,earnq4,earnq4mis,pworky1,pworky1mis,health12,health12mis,trainy1,trainy2,pworky2,pworky3,pworky4,earny2,earny3,earny4,health30,health48
1,0,19,0,0,0,10,0,0,0,0,0,1,0,146,5,0,12,0,12,0,2,0,2,0,1,0,4,0,0,0,0,5.769230842590332,0,2,0,1,1,44.230770111083984,63.46154022216797,100,216.95191955566406,284.8551025390625,264.3376159667969,2,1
1,0,19,0,1,0,10,0,0,0,1,0,0,0,0,3,0,12,0,12,0,1,0,1,0,2,0,4,0,0,0,0,0,0,1,0,1,1,0,51.92307662963867,69.23076629638672,0,91.52238464355469,81.31141662597656,1,1
0,1,20,1,0,0,10,0,0,0,1,0,1,0,0,7,0,8,0,8,0,1,0,2,0,1,0,4,0,1,102,0,25,0,2,0,0,0,100,26.923076629638672,82.69230651855469,110.638916015625,51.18682861328125,151.49392700195312,2,2
0,0,16,0,1,0,9,0,0,0,1,0,0,0,0,6,0,14,0,11,0,1,0,1,0,2,0,0,1,1,240,0,42.48207473754883,0,2,0,0,0,59.61538314819336,63.46154022216797,46.153846740722656,161.26129150390625,126.5467300415039,115.92578125,1,1
1,0,16,0,1,0,9,0,0,0,1,0,0,0,0,4,0,12,0,12,0,1,0,1,0,0,1,0,1,1,120,0,100,0,1,0,1,0,100,100,100,210.3357696533203,357.5306091308594,320.03607177734375,1,1
1,0,22,0,1,0,11,0,1,0,1,0,0,0,370,4,0,0,1,0,1,1,0,1,0,0,1,0,1,1,342,0,98.07691955566406,0,2,0,0,0,100,100,100,350.2716369628906,386.9100341796875,409.6706848144531,1,2
0,0,16,1,0,0,9,0,0,0,1,0,0,0,0,4,0,11,0,7,0,4,0,3,0,0,1,4,0,0,0,0,3.846153736114502,0,3,0,0,1,26.923076629638672,69.23076629638672,82.69230651855469,52.82307815551758,344.98175048828125,428.55963134765625,1,2
1,0,17,1,0,0,9,0,0,0,1,0,0,0,0,7,0,12,0,12,0,1,0,1,0,1,0,3,0,1,42.05677795410156,0,73.07691955566406,0,2,0,1,0,100,100,100,303.91595458984375,315.78009033203125,333.9366455078125,2,2
0,0,16,1,0,0,8,0,0,0,1,0,0,0,140,3,0,12,0,16,0,1,0,2,0,1,0,4,0,0,0,0,67.30769348144531,0,2,0,1,0,17.30769157409668,100,75,11.206038475036621,95.85975646972656,100.80756378173828,2,2
1,0,22,0,0,1,12,0,0,1,0,1,1,0,495,6,0,3,0,2,0,2,0,2,0,0,1,0,1,1,296,0,98.07691955566406,0,2,0,1,1,100,92.30769348144531,59.61538314819336,371.7788391113281,368.0791320800781,340.31243896484375,2,2
1,1,21,0,0,0,11,0,0,0,0,0,1,0,0,6,0,7,0,9,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,38.46154022216797,100,100,86.78076934814453,213.67388916015625,150.01690673828125,1,1
1,0,22,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,250,0,82.69230651855469,0,2,0,0,1,100,100,100,169.50917053222656,290.545654296875,374.8143310546875,3,3
1,1,18,0,1,0,11,0,0,0,1,0,0,0,0,6,0,0,1,0,1,2,0,3,0,0,1,0,1,0,0,0,3.846153736114502,0,2,0,1,1,15.384614944458008,94.23076629638672,82.69230651855469,15.545077323913574,125.22996520996094,250.75099182128906,3,3
0,1,20,0,1,0,10,0,0,0,1,0,0,1,0,3,0,12,0,0,1,4,0,4,0,0,1,0,1,0,0,0,48.07692337036133,0,3,0,0,1,0,0,0,0,0,0,4,4
1,0,19,0,1,0,10,0,0,0,1,0,0,0,0,8,0,12,0,9,0,4,0,3,0,1,0,0,1,0,0,0,7.692307472229004,0,3,0,1,0,65.384613037109375,5.769230842590332,0,117.86148834228516,10.399542808532715,0,2,2
1,1,16,0,1,0,10,0,0,0,1,0,0,0,0,6,0,12,0,12,0,4,0,2,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,11.538461685180664,0,0,19.650299072265625,2,1
0,1,18,0,1,0,11,0,0,0,1,0,0,0,0,2,0,14,0,12,0,2,0,1,0,0,1,0,1,1,207.6923065185547,0,96.15384674072266,0,1,0,0,0,96.15384674072266,11.538461685180664,100,230.27175903320312,32.87697219848633,281.9365539550781,2,1
1,0,17,0,1,0,9,0,0,0,1,0,0,0,0,2,0,16,0,0,1,0,1,1,0,0,1,0,1,1,210,0,98.07691955566406,0,2,0,1,0,86.53845977783203,96.15384674072266,100,204.05307006835938,302.9862976074219,457.19439697265625,1,2
1,0,16,0,1,0,8,0,0,0,1,0,0,0,0,5,0,12,0,0,1,4,0,2,0,0,1,4,0,0,0,0,0,0,3,0,1,1,0,36.53845977783203,0,0,171.27125549316406,0,2,2
1,1,20,0,1,0,12,0,0,1,1,0,0,0,362,1,0,0,1,0,1,1,0,3,0,0,1,3,0,0,0,0,0,0,3,0,1,1,0,19.230770111083984,21.153846740722656,0,37.023616790771484,40.46744918823242,2,1
0,0,18,0,1,0,10,0,0,0,1,0,0,0,0,1,0,14,0,14,0,1,0,3,0,2,0,4,0,1,224.3076934814453,0,90.384613037109375,0,3,0,1,1,40.38461685180664,38.46154022216797,100,92.39923095703125,93.52165985107422,198.020751953125,3,2
1,1,19,1,0,0,12,0,0,0,1,0,0,0,0,4,0,12,0,11,0,1,0,2,0,1,0,3,0,1,243,0,34.61538314819336,0,2,0,1,0,100,100,100,282.71337890625,295.93389892578125,300.0338134765625,2,2
1,0,16,1,0,0,8,0,0,0,1,0,0,0,0,4,0,14,0,15,0,2,0,2,0,2,0,4,0,1,49.846153259277344,0,7.692307472229004,0,4,0,1,1,0,71.15384674072266,100,0,117.56849670410156,300.0338134765625,4,3
1,0,23,1,0,0,12,0,1,0,1,0,1,0,0,1,0,12,0,0,1,1,0,1,0,1,0,4,0,1,126.41999816894531,0,100,0,3,0,1,0,100,44.230770111083984,57.69230651855469,201.4569091796875,94.26219940185547,226.95449829101562,2,2
0,0,16,0,0,1,8,0,0,0,1,0,0,0,0,3,0,20,0,12,0,0,1,1,0,1,0,0,0,1,185.76922607421875,0,25,0,1,0,0,1,9.615385055541992,73.07691955566406,66.8274154663086,28.298076629638672,267.65576171875,229.0352325439453,2,1
0,1,17,1,0,0,11,0,0,0,1,0,0,0,0,3,0,12,0,12,0,1,0,1,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,7.692307472229004,0,0,18.837615966796875,0,2,2
0,0,16,0,1,0,10,0,0,0,1,0,0,0,0,1,0,12,0,12,0,1,0,2,0,0,1,2,0,1,50.480770111083984,0,9.615385055541992,0,1,0,1,1,100,53.846153259277344,76.92308044433594,116.58181762695312,61.9166259765625,204.9193115234375,2,2
1,1,19,0,1,0,10,0,0,0,1,0,0,0,0,6,0,14,0,12,0,2,0,1,0,0,1,0,1,0,0,0,43.80885696411133,0,1,0,0,0,56.882240295410156,75,98.07691955566406,145.01576232910156,286.5870056152344,585.46820068359375,1,3
1,0,19,0,1,0,11,0,0,0,1,0,0,0,60,4,0,12,0,0,1,1,0,2,0,4,0,0,1,1,186.15383911132812,0,28.846153259277344,0,2,0,0,0,94.23076629638672,73.07691955566406,75,324.0515441894531,219.5870819091797,208.58749389648438,2,1
0,1,21,0,1,0,11,0,0,0,1,0,0,0,0,2,0,11,0,0,1,4,0,2,0,0,1,0,1,0,0,0,44.230770111083984,0,2,0,0,0,23.076923370361328,86.53845977783203,96.15384674072266,21.50653839111328,181.6317138671875,286.8408203125,2,3
0,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,107.69230651855469,0,30.769229888916016,0,3,0,0,0,0,0,25,0,0,68.59674072265625,3,3
1,0,16,1,0,0,8,0,0,0,1,0,0,0,0,3,0,14,0,0,1,1,0,3,0,1,0,4,0,1,90.80000305175781,0,26.923076629638672,0,3,0,1,0,78.84615325927734,100,13.461538314819336,201.5682830810547,174.2943572998047,38.74553298950195,2,2
0,1,17,0,1,0,10,0,0,0,1,0,0,0,0,9,0,16,0,0,1,1,0,1,0,0,1,0,1,1,29.538461685180664,0,21.153846740722656,0,2,0,1,0,11.538461685180664,0,40.38461685180664,22.013538360595703,0,130.6360626220703,3,2
0,0,17,0,1,0,9,0,0,0,1,0,0,0,0,5,0,12,0,12,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,59.61538314819336,50.74828338623047,0,200.85313415527344,168.30496215820312,1,2
0,1,16,0,1,0,10,0,0,0,1,0,0,0,0,3,0,14,0,13,0,1,0,1,0,0,1,0,1,1,183.07691955566406,0,50,0,1,0,1,1,48.07692337036133,19.230770111083984,63.00620651245117,61.954376220703125,0,181.1775665283203,1,2
1,1,20,0,1,0,11,0,0,0,1,0,1,0,0,4,0,0,1,0,1,1,0,3,0,0,1,4,0,1,304.2670593261719,0,86.53845977783203,0,0,0,0,1,17.30769157409668,0,53.846153259277344,30.87980842590332,0,176.86207580566406,3,2
1,0,18,0,0,0,9,0,0,0,1,0,0,1,0,3,0,9,0,12,0,4,0,1,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
0,0,19,1,0,0,11,0,0,0,1,0,0,0,8,2,0,12,0,20,0,2,0,2,0,1,0,4,0,0,0,0,60.33637237548828,0,2,0,1,1,69.5252456665039,46.153846740722656,32.69230651855469,237.41787719726562,126.1424331665039,261.2721252441406,2,2
0,1,19,1,0,0,12,0,0,1,1,0,1,0,80,4,0,16,0,16,0,1,0,1,0,4,0,4,0,1,355.76922607421875,0,84.615386962890625,0,1,0,0,0,100,100,100,383.26959228515625,403.9285888671875,660.50775146484375,2,2
0,0,17,0,0,1,9,0,0,0,0,0,0,1,0,2,0,12,0,0,1,2,0,1,0,0,1,0,1,1,55,0,21.153846740722656,0,1,0,1,1,54.34196472167969,58.115821838378906,28.846153259277344,141.2757110595703,172.21824645996094,137.22276306152344,1,1
1,1,18,0,1,0,12,0,0,1,1,0,1,0,0,4,0,11,0,12,0,4,0,2,0,1,0,0,1,1,68.65384674072266,0,11.538461685180664,0,2,0,1,0,100,100,100,264.001708984375,306.1754150390625,215.24085998535156,2,2
1,1,22,1,0,0,12,0,0,1,1,1,1,1,0,3,0,0,1,0,1,1,0,1,0,0,1,4,0,1,274.3999938964844,0,65.384613037109375,0,1,0,1,1,96.15384674072266,100,98.07691955566406,209.037109375,229.2274627685547,217.07510375976562,1,2
0,0,17,1,0,0,9,0,0,0,1,1,0,0,0,6,0,10,0,13,0,4,0,1,0,1,0,4,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1
1,0,24,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,47.182029724121094,0,2,0,1,0,67.659332275390625,94.23076629638672,86.53845977783203,214.5480499267578,271.39044189453125,122.67073822021484,1,3
1,1,16,0,1,0,8,0,0,0,1,0,1,0,0,7,0,16,0,12,0,0,1,3,0,1,0,0,1,1,46.153846740722656,0,17.30769157409668,0,1,0,1,0,0,28.846153259277344,71.15384674072266,0,63.86574172973633,201.58396911621094,2,2
1,1,18,0,1,0,12,0,0,1,1,0,0,1,0,1,0,14,0,18,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,92.30769348144531,25,0,350.7178039550781,150.39016723632812,1,1
0,0,17,0,1,0,9,0,0,0,1,0,0,1,0,6,0,12,0,12,0,1,0,1,0,2,0,0,1,0,0,0,36.53845977783203,0,1,0,1,1,0,76.92308044433594,50.74828338623047,0,231.1376953125,168.30496215820312,2,1
1,0,20,0,1,0,11,0,0,0,1,0,0,0,0,2,0,12,0,12,0,4,0,1,0,0,1,3,0,1,164.96153259277344,0,82.69230651855469,0,2,0,0,1,0,61.53845977783203,100,0,230.78512573242188,475.50555419921875,2,1
0,0,21,0,1,0,12,0,0,0,1,0,0,0,0,3,0,12,0,10,0,1,0,1,0,4,0,4,0,1,103.84615325927734,0,44.230770111083984,0,2,0,0,0,100,48.07692337036133,73.07691955566406,184.72268676757812,103.40778350830078,185.47027587890625,2,2
1,0,17,0,1,0,11,0,0,0,1,0,0,0,0,5,0,12,0,12,0,2,0,2,0,4,0,0,1,0,0,0,1.923076868057251,0,1,0,1,0,0,34.61538314819336,94.23076629638672,0,87.7459716796875,248.43341064453125,2,2
1,1,21,0,0,1,8,0,0,0,0,1,0,1,0,4,0,11,0,6,0,2,0,1,0,1,0,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,4
0,1,20,0,0,1,10,0,0,0,1,0,0,0,0,0,0,12,0,12,0,2,0,2,0,0,1,4,0,1,113.07691955566406,0,71.15384674072266,0,2,0,0,0,0,23.076923370361328,11.538461685180664,0,66.179718017578125,39.5201530456543,2,2
0,0,17,0,1,0,10,0,0,0,1,0,0,0,0,4,0,14,0,16,0,1,0,2,0,0,1,0,1,1,220,0,61.53845977783203,0,2,0,1,1,100,82.69230651855469,50.74828338623047,303.0732421875,241.7420654296875,168.30496215820312,2,2
1,1,16,1,0,0,9,0,0,0,1,0,0,0,0,4,0,0,1,9,0,4,0,2,0,0,1,0,1,0,0,0,1.923076868057251,0,1,0,1,1,0,9.615385055541992,100,0,17.32705307006836,251.40003967285156,2,2
0,0,17,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,36.53845977783203,0,0,64.787628173828125,0,4,3
1,0,20,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,12,0,1,0,2,0,1,0,0,1,1,115.38461303710938,0,19.230770111083984,0,2,0,1,1,100,100,100,147.36923217773438,277.1117858886719,463.061767578125,2,2
0,0,17,1,0,0,11,0,0,0,1,0,0,0,0,4,0,12,0,12,0,4,0,2,0,1,0,2,0,0,0,0,0,0,2,0,0,1,13.461538314819336,57.69230651855469,76.92308044433594,33.27853775024414,140.30567932128906,312.8678894042969,1,2
1,1,18,0,1,0,12,0,0,1,1,0,1,0,0,4,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,63.46154022216797,0,1,0,1,0,71.15384674072266,100,92.30769348144531,112.03208923339844,154.72654724121094,235.1520538330078,1,1
1,1,17,0,1,0,10,0,0,0,1,0,0,0,0,4,0,12,0,12,0,4,0,1,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,28.846153259277344,100,0,76.64814758300781,261.8750305175781,2,4
0,1,16,0,1,0,8,0,0,0,1,0,0,1,0,3,0,10,0,12,0,4,0,1,0,0,1,4,0,0,0,0,15.384614944458008,0,1,0,1,1,44.230770111083984,69.23076629638672,0,41.22086715698242,63.44474411010742,0,2,2
1,1,16,1,0,0,11,0,0,0,1,0,0,0,0,2,0,11,0,10,0,1,0,2,0,1,0,0,0,1,84.615386962890625,0,96.15384674072266,0,2,0,0,1,0,78.84615325927734,75,0,160.80282592773438,215.05789184570312,2,2
0,1,16,0,1,0,8,0,0,0,1,0,0,0,0,9,0,12,0,12,0,3,0,1,0,0,1,4,0,1,48.79999923706055,0,86.53845977783203,0,2,0,0,0,5.769230842590332,23.076923370361328,19.230770111083984,2.81538462638855,80.85958099365234,66.91246032714844,2,3
1,0,19,0,1,0,11,0,0,0,1,0,0,0,0,3,0,12,0,12,0,2,0,1,0,1,0,3,0,1,196.31834411621094,0,41.363521575927734,0,1,0,1,1,100,100,100,193.50375366210938,284.88348388671875,247.5909423828125,1,2
