survey_year,elig_year,retired,food,c,cn
1995,8,FALSE,619.748278907384,18695.7397470394,13014.7138570551
1998,8,FALSE,479.995042013769,11807.8780335387,9791.89885708088
1993,15,TRUE,339.312182701793,8143.49238484302,8143.49238484302
1995,17,TRUE,154.937069726846,17766.1173286783,14667.3759341414
1998,16,TRUE,191.998016805508,9791.89885708088,9791.89885708088
1993,23,TRUE,565.520304502988,16188.363616918,14491.8027034091
1995,25,TRUE,464.811209180538,12064.4331627304,12064.4331627304
2000,19,TRUE,598.95055958105,12163.3036714921,12163.3036714921
2002,32,TRUE,339.28,12214.08,12214.08
1993,16,FALSE,226.208121801195,9359.36103952445,6531.75951700951
1995,20,TRUE,258.228449544743,10174.2009120629,10174.2009120629
1993,4,FALSE,226.208121801195,6786.24365403585,6786.24365403585
1995,6,FALSE,1032.91379817897,18592.4483672215,18592.4483672215
1993,-9,FALSE,282.760152251494,6107.61928863227,6107.61928863227
1995,-7,FALSE,516.456899089487,13634.4621359624,13634.4621359624
1998,-14,FALSE,479.995042013769,9941.9324710912,9941.9324710912
2000,-11,FALSE,322.511839774412,7740.28415458588,7740.28415458588
1993,19,TRUE,395.864213152091,9365.01624256948,9365.01624256948
1995,21,TRUE,464.811209180538,12704.8397176014,12704.8397176014
1993,-1,FALSE,395.864213152091,13810.005835963,13357.5895923606
1995,1,FALSE,180.75991468132,10070.909532245,10070.909532245
1998,9,TRUE,335.996529409638,13007.8656385731,12671.8691091635
2000,10,TRUE,184.292479871092,9076.4046336513,8846.03903381243
2002,8,TRUE,212.05,61579.32,61579.32
2004,15,TRUE,243.48,12660.96,12660.96
1993,6,TRUE,226.208121801195,20358.7309621076,20358.7309621076
1995,6,TRUE,413.165519271589,16113.455251592,16113.455251592
1993,2,TRUE,452.41624360239,11012.2086903497,11012.2086903497
1995,4,TRUE,361.519829362641,8366.60176524968,8366.60176524968
1993,-23,FALSE,339.312182701793,11253.8540596095,10857.9898464574
1995,-21,FALSE,516.456899089487,20451.6932039437,20451.6932039437
1998,10,TRUE,575.994050416523,27359.7173947848,20159.7917645783
2002,9,TRUE,508.92,18321.12,18321.12
1995,32,TRUE,516.456899089487,15906.8724919562,15906.8724919562
2002,21,TRUE,254.46,12807.82,12638.18
1993,-21,FALSE,452.41624360239,16938.2122656967,16938.2122656967
1995,-19,FALSE,516.456899089487,18437.5112974947,18437.5112974947
1998,-16,FALSE,479.995042013769,18671.8071343356,15119.8438234337
2000,-14,FALSE,460.731199677731,17277.4199879149,16586.3231883983
2002,-12,FALSE,508.92,21713.92,21713.92
2004,-10,FALSE,649.28,13634.88,13634.88
1993,29,TRUE,226.208121801195,10885.1348210735,10885.1348210735
1995,32,TRUE,206.582759635795,11310.4060900598,11310.4060900598
1993,3,FALSE,508.968274052689,18365.8886709305,17234.8480619246
1995,5,FALSE,361.519829362641,14873.9586937772,14873.9586937772
1993,-5,FALSE,678.624365403585,43590.3050710903,43590.3050710903
1995,-3,FALSE,619.748278907384,24893.2225361133,24221.8285672969
1998,5,TRUE,719.992563020653,19607.7974662625,16127.8334116626
2000,2,TRUE,598.95055958105,15480.5683091718,15480.5683091718
1993,41,TRUE,706.900380628735,22264.5343882826,20935.5616727006
1995,43,TRUE,774.68534863423,31813.7449839124,21071.4414828511
1998,-14,TRUE,335.996529409638,11519.8810083304,11519.8810083304
1993,-16,FALSE,1131.04060900598,22507.7081192189,20358.7309621076
1995,-14,FALSE,671.393968816332,21949.4182113032,21691.1897617584
1998,-11,FALSE,959.990084027537,24719.7446637091,23039.7620166609
2000,-10,FALSE,921.462399355462,28288.8956602127,28288.8956602127
2002,-8,FALSE,1272.3,29093.26,27820.96
2004,-6,FALSE,568.12,38177.664,37609.544
1993,7,TRUE,339.312182701793,12328.3426381651,12328.3426381651
1995,9,TRUE,258.228449544743,11000.5319506061,11000.5319506061
1998,12,TRUE,143.998512604131,12383.8720839552,12383.8720839552
2000,13,TRUE,276.438719806639,14006.228470203,14006.228470203
1993,-10,FALSE,565.520304502988,17870.4416222944,17870.4416222944
1995,-8,FALSE,723.039658725281,14512.4388644146,14512.4388644146
1998,-1,FALSE,383.996033611015,11327.8829915249,10367.8929074974
1993,-26,FALSE,508.968274052689,18809.2053277694,14794.0111657982
1995,-24,FALSE,619.748278907384,15225.1493851581,14192.2355869791
1998,-21,FALSE,671.993058819276,12218.7537895025,13322.7423861342
2000,-22,FALSE,460.731199677731,16033.445748785,16033.445748785
2002,-20,FALSE,593.74,16285.44,16285.44
1993,1,FALSE,339.312182701793,17624.5120987631,17624.5120987631
1995,18,FALSE,516.456899089487,20451.6932039437,20451.6932039437
1993,-26,FALSE,395.864213152091,14251.1116734753,14251.1116734753
1995,-24,FALSE,516.456899089487,16397.5065460912,16397.5065460912
1998,-21,FALSE,239.997521006884,11519.8810083304,11519.8810083304
2000,-20,FALSE,230.365599838865,9260.69711352239,8846.03903381243
2002,-17,FALSE,339.28,14249.76,14249.76
1993,8,TRUE,395.864213152091,24656.6852763303,23525.6446673243
1995,10,TRUE,516.456899089487,23240.5604590269,23240.5604590269
1998,13,TRUE,719.992563020653,79775.1759826884,38975.597411518
2000,15,TRUE,368.584959742185,39807.175652156,39807.175652156
1993,-25,FALSE,124.414466990657,27201.5266465937,25787.7258853362
1995,-23,FALSE,361.519829362641,14744.8444690048,14254.2104148698
1993,-9,FALSE,452.41624360239,16682.8489828381,14420.7677648262
1995,-7,FALSE,438.988364226064,20141.81906449,20141.81906449
1998,-20,FALSE,335.996529409638,8927.9077814561,8207.91521843545
1993,23,TRUE,197.932106576046,6107.61928863227,6107.61928863227
1995,24,TRUE,361.519829362641,9915.97246251814,9915.97246251814
1993,25,TRUE,395.864213152091,12270.6812675141,12270.6812675141
1995,27,TRUE,309.874139453692,15493.7069726846,15493.7069726846
1998,28,TRUE,191.998016805508,11231.8839831222,9791.89885708088
1993,-3,TRUE,395.864213152091,15947.6725869843,15947.6725869843
1995,-2,TRUE,619.748278907384,18592.4483672215,18592.4483672215
1998,17,TRUE,383.996033611015,22079.7719326334,22079.7719326334
2000,4,TRUE,460.731199677731,16586.3231883983,16586.3231883983
2002,14,TRUE,424.1,16285.44,16285.44
1993,7,TRUE,339.312182701793,9500.74111565019,9500.74111565019
1995,9,TRUE,516.456899089487,16165.1009415009,14873.9586937772
1998,12,TRUE,335.996529409638,11495.8812562298,11015.886214216
2000,14,TRUE,230.365599838865,9398.91647342571,9398.91647342571
2002,16,TRUE,339.28,10178.4,10178.4
1993,1,TRUE,508.968274052689,16286.984769686,16286.984769686
1995,3,TRUE,877.976728452127,25822.8449544743,24789.9311562954
1998,6,TRUE,431.995537812392,24527.2666518616,24335.7486300981
1993,34,TRUE,282.760152251494,8482.80456754482,8482.80456754482
1995,36,TRUE,464.811209180538,14254.2104148698,14254.2104148698
1998,39,TRUE,479.995042013769,14975.8453108296,14975.8453108296
2000,31,TRUE,322.511839774412,11057.5487922655,11057.5487922655
2002,48,TRUE,296.87,9160.56,9160.56
2004,40,TRUE,202.9,5843.52,5843.52
1993,-13,FALSE,848.280456754482,36193.2994881912,33931.2182701793
1995,-11,FALSE,774.68534863423,41316.5519271589,30987.4139453692
1998,-8,FALSE,719.992563020653,43439.5513022461,31679.6727729087
2000,-6,FALSE,460.731199677731,24879.4847825975,24879.4847825975
2002,-4,FALSE,678.56,22392.48,22392.48
2004,-2,FALSE,811.6,38956.8,38956.8
1993,13,TRUE,565.520304502988,15816.288787957,15782.3575696868
1995,30,TRUE,361.519829362641,12459.2416632344,12459.2416632344
1993,12,TRUE,339.312182701793,6786.24365403585,6786.24365403585
1995,14,TRUE,309.874139453692,6868.87675789017,6868.87675789017
1993,-20,FALSE,508.968274052689,15608.3604042825,15608.3604042825
1995,-18,FALSE,516.456899089487,11155.4690203329,11155.4690203329
1993,-22,FALSE,508.968274052689,9500.74111565019,9500.74111565019
1995,-20,FALSE,464.811209180538,9915.97246251814,9915.97246251814
1993,-14,FALSE,226.208121801195,12893.8629426681,12893.8629426681
1995,-12,FALSE,413.165519271589,16784.8492204083,16423.3293910457
1998,-8,FALSE,335.996529409638,19247.8011847521,18431.8096133287
2000,-9,FALSE,276.438719806639,16033.445748785,16033.445748785
1993,-26,FALSE,848.280456754482,16965.6091350896,16965.6091350896
1993,-22,FALSE,452.41624360239,8822.11675024661,8822.11675024661
1995,-20,FALSE,413.165519271589,10535.7207414255,10535.7207414255
2000,-14,TRUE,368.584959742185,8846.03903381243,8846.03903381243
1993,-7,FALSE,735.176395853884,13613.2047699959,13613.2047699959
1995,-5,FALSE,619.748278907384,13107.6760988912,13107.6760988912
1998,-5,FALSE,767.99206722203,16271.8319242668,16271.8319242668
2000,-10,FALSE,460.731199677731,15981.8438544211,15613.2588946789
1993,-20,FALSE,791.728426304183,15693.1884499579,15269.0482215807
1995,-18,FALSE,619.748278907384,19522.0707855826,19522.0707855826
1993,21,TRUE,339.312182701793,13572.4873080717,13572.4873080717
1995,8,TRUE,516.456899089487,13634.4621359624,13634.4621359624
1993,18,TRUE,565.520304502988,12324.898120755,11815.9298467023
1995,20,TRUE,361.519829362641,14254.2104148698,14254.2104148698
1998,23,TRUE,623.993554617899,23330.4442271265,19010.4888490026
1993,-11,FALSE,848.280456754482,42414.0228377241,41282.9822287181
1995,-9,FALSE,929.622418361076,51439.1071493129,49373.2795529549
1993,-8,FALSE,565.520304502988,11333.0269022399,11333.0269022399
1995,-6,FALSE,387.342674317115,10535.7207414255,10535.7207414255
1998,-3,FALSE,527.994546215146,13199.8636553786,12959.8661343718
1993,-25,FALSE,565.520304502988,11553.579820996,11553.579820996
1995,-23,FALSE,309.874139453692,7189.08003532565,7189.08003532565
1998,-22,FALSE,479.995042013769,11759.8785293373,11519.8810083304
1995,2,FALSE,258.228449544743,11514.3387303829,11514.3387303829
1998,-2,FALSE,287.997025208261,15599.8388654475,15599.8388654475
1993,-19,FALSE,452.41624360239,12837.3109122178,12554.5507599663
1995,-17,FALSE,774.68534863423,27991.9639306502,17662.8259488604
1998,-25,FALSE,575.994050416523,14975.8453108296,14975.8453108296
1993,7,TRUE,565.520304502988,12554.5507599663,12215.2385772645
1995,9,TRUE,774.68534863423,13634.4621359624,13634.4621359624
1998,12,TRUE,383.996033611015,12095.875058747,12095.875058747
2000,-26,FALSE,276.438719806639,14374.8134299452,14374.8134299452
2002,-23,FALSE,424.1,16285.44,16285.44
1993,-21,FALSE,452.41624360239,16456.6408610369,15608.3604042825
1995,-19,FALSE,413.165519271589,17043.0776699531,15493.7069726846
1998,-16,FALSE,431.995537812392,8639.91075624784,8639.91075624784
2000,-14,FALSE,460.731199677731,24879.4847825975,16586.3231883983
2002,-11,FALSE,381.69,11196.24,11196.24
2004,-10,FALSE,811.6,17530.56,17530.56
1993,-6,FALSE,395.864213152091,15382.1522824813,12554.5507599663
1995,-4,FALSE,516.456899089487,16939.7862901352,14873.9586937772
1998,-9,FALSE,335.996529409638,9791.89885708088,9791.89885708088
2002,2,FALSE,339.28,13231.92,13231.92
1993,-4,FALSE,508.968274052689,27767.0469510967,24939.4454285818
1995,-2,FALSE,619.748278907384,16805.5074963719,16805.5074963719
1993,-2,FALSE,282.760152251494,23469.092636874,13572.4873080717
1995,1,TRUE,774.68534863423,31503.8708444587,31503.8708444587
1998,5,TRUE,959.990084027537,28799.7025208261,28799.7025208261
2000,11,TRUE,460.731199677731,24879.4847825975,24879.4847825975
1993,-17,FALSE,565.520304502988,20358.7309621076,20358.7309621076
1995,-15,FALSE,413.165519271589,13014.7138570551,13014.7138570551
1998,-13,FALSE,479.995042013769,14399.8512604131,14399.8512604131
2000,-10,FALSE,460.731199677731,18797.8329468514,18797.8329468514
2002,-10,FALSE,805.79,23198.27,22901.4
1993,-1,FALSE,565.520304502988,28395.2463479158,28395.2463479158
1995,2,TRUE,619.748278907384,41471.4889968858,28043.6096205591
1998,5,TRUE,815.991571423407,39167.5954283235,38879.5984031153
1993,-14,FALSE,848.280456754482,26975.3185247925,24430.4771545291
1995,-12,FALSE,1032.91379817897,25719.5535746564,25719.5535746564
1998,7,FALSE,1199.98760503442,32639.6628569363,32639.6628569363
2000,-7,FALSE,829.316159419916,52753.7223631002,31099.3559782468
2002,-5,FALSE,381.69,29687,29262.9
2004,-3,FALSE,340.872,35142.28,34087.2
1993,-22,FALSE,282.760152251494,19153.0331424917,18474.4087770881
1995,-20,FALSE,619.748278907384,27480.6716005516,27480.6716005516
1998,-17,FALSE,479.995042013769,19007.8036637452,19007.8036637452
1993,3,FALSE,565.520304502988,55986.5101457958,48069.225882754
1995,5,FALSE,2065.82759635795,56810.2588998435,55777.3451016645
1993,-12,FALSE,169.656091350896,9469.44569626023,9469.44569626023
1995,-10,FALSE,361.519829362641,6383.40727274605,6383.40727274605
1998,2,FALSE,95.9990084027537,6334.27759468915,6334.27759468915
1993,19,TRUE,395.864213152091,18342.8484692322,17494.5680124777
1995,28,TRUE,464.811209180538,13634.4621359624,13634.4621359624
1993,22,TRUE,169.656091350896,6107.61928863227,6107.61928863227
1995,24,TRUE,258.228449544743,10535.7207414255,10535.7207414255
1993,-22,FALSE,395.864213152091,10179.3654810538,10179.3654810538
1995,-20,FALSE,413.165519271589,16836.4949103173,16113.455251592
1998,-22,FALSE,479.995042013769,13823.8572099965,13823.8572099965
1993,-15,FALSE,565.520304502988,21895.044629099,21216.4202636954
1995,-13,FALSE,774.68534863423,44570.2303914227,34396.0294793598
2000,-7,FALSE,368.584959742185,23220.8524637576,23220.8524637576
2002,-5,FALSE,424.1,17438.992,17142.122
1993,10,TRUE,961.384517655079,33026.3857829745,33026.3857829745
1995,18,TRUE,516.456899089487,28895.7635040568,28508.4208297397
1998,28,TRUE,575.994050416523,22463.7679662444,19583.7977141618
1993,2,FALSE,339.312182701793,10857.9898464574,10857.9898464574
1995,4,TRUE,361.519829362641,13634.4621359624,13634.4621359624
2000,-33,FALSE,322.511839774412,12946.5467109442,12716.1811111054
1993,-21,FALSE,508.968274052689,18322.8578658968,18322.8578658968
1995,-19,FALSE,929.622418361076,24789.9311562954,24789.9311562954
1998,-17,FALSE,527.994546215146,51887.4640416884,21887.7739158279
2000,-14,FALSE,691.096799516596,29509.8333393587,29509.8333393587
2002,-12,FALSE,1017.84,36031.536,36031.536
2004,-10,FALSE,324.64,34493,34493
1993,-12,FALSE,226.208121801195,28380.0177541393,14694.426385167
1995,-10,FALSE,77.468534863423,16165.1009415009,15390.4155928667
1998,-8,FALSE,239.997521006884,9143.90555036229,8663.91050834853
1993,3,TRUE,848.280456754482,24430.4771545291,21885.6357842656
1995,5,TRUE,774.68534863423,21226.3785525779,21226.3785525779
1993,11,TRUE,452.41624360239,15495.2563433819,11536.614211861
1995,13,TRUE,516.456899089487,15047.4882118713,15047.4882118713
1998,2,TRUE,479.995042013769,13823.8572099965,13823.8572099965
2000,9,TRUE,276.438719806639,9951.79391303899,9951.79391303899
1993,-2,FALSE,395.864213152091,14816.6319779783,13120.0710644693
1998,-3,FALSE,479.995042013769,42239.5636972117,41759.5686551979
1993,13,FALSE,452.41624360239,13572.4873080717,13572.4873080717
1995,15,FALSE,361.519829362641,9296.22418361076,9296.22418361076
1993,1,FALSE,735.176395853884,19962.8667489555,19962.8667489555
1995,4,TRUE,929.622418361076,23550.4345984806,23550.4345984806
1998,6,TRUE,383.996033611015,22079.7719326334,22079.7719326334
2002,10,TRUE,339.28,17362.654,17362.654
2004,12,TRUE,324.64,22319,16718.96
2002,-1,TRUE,127.23,14589.04,6107.04
2004,-4,TRUE,81.16,10794.28,10794.28
1993,6,TRUE,565.520304502988,22168.3959365171,22168.3959365171
1995,8,TRUE,516.456899089487,44416.3184709265,34087.1804891368
1998,12,TRUE,575.994050416523,22079.7719326334,22079.7719326334
1993,18,FALSE,282.760152251494,13547.0953927832,13547.0953927832
1995,20,FALSE,361.519829362641,12394.9655781477,12394.9655781477
1993,13,TRUE,113.104060900598,9500.74111565019,9500.74111565019
1995,15,TRUE,129.114224772372,8676.47590470337,8676.47590470337
1998,18,TRUE,191.998016805508,8063.91670583132,8063.91670583132
1993,-19,FALSE,678.624365403585,21263.5634493123,19001.4822313004
1995,-17,FALSE,723.039658725281,21019.7957929421,21019.7957929421
1998,-14,FALSE,719.992563020653,29903.6911174578,21503.7778822168
2000,-12,FALSE,552.877439613277,29118.2118196326,18521.3942270448
2002,11,FALSE,1017.84,28966.03,27990.6
2004,12,FALSE,649.28,19478.4,19478.4
1993,14,TRUE,282.760152251494,17870.4416222944,17870.4416222944
1995,16,TRUE,309.874139453692,19728.6535452184,19728.6535452184
1998,19,TRUE,287.997025208261,18743.8063906377,18743.8063906377
2000,21,TRUE,207.329039854979,14311.9921358032,14173.7727758999
2002,23,TRUE,127.23,14249.76,14249.76
2004,21,TRUE,405.8,17530.56,17530.56
1993,13,FALSE,508.968274052689,14807.5836531062,14807.5836531062
1995,16,TRUE,516.456899089487,11403.3683318959,11403.3683318959
1993,-1,FALSE,565.520304502988,47729.9137000522,42640.2309595253
1998,5,TRUE,575.994050416523,29951.6906216592,29951.6906216592
2000,1,TRUE,230.365599838865,20640.7577455623,20640.7577455623
1995,14,TRUE,516.456899089487,10535.7207414255,10535.7207414255
1993,-11,FALSE,848.280456754482,29463.6078646057,29463.6078646057
1995,-9,FALSE,671.393968816332,25616.2621948385,25616.2621948385
1998,-7,FALSE,479.995042013769,23351.7587939699,23279.7595376678
2000,-4,FALSE,829.316159419916,23773.7299033709,23773.7299033709
2002,-2,TRUE,593.74,25446,25446
1993,3,TRUE,226.208121801195,7292.94984687053,7292.94984687053
1995,5,TRUE,516.456899089487,10721.6452250977,10721.6452250977
2000,23,TRUE,322.511839774412,9509.49196134837,9509.49196134837
2002,9,TRUE,212.05,6208.824,6208.824
2004,12,TRUE,486.96,14267.928,14024.448
1993,12,FALSE,452.41624360239,22111.8439060668,21829.0837538153
1995,-1,FALSE,619.748278907384,37959.5820830773,23860.3087379343
1998,1,TRUE,671.993058819276,21887.7739158279,21887.7739158279
2000,3,TRUE,691.096799516596,23635.5105434676,23497.2911835643
2002,6,TRUE,424.1,24343.34,24343.34
1993,-27,FALSE,395.864213152091,16083.397460065,16083.397460065
1995,-25,FALSE,258.228449544743,17719.0053416136,17719.0053416136
1998,-22,FALSE,383.996033611015,19895.7944914707,6455.93331508519
2000,-22,FALSE,322.511839774412,16309.8844685917,16309.8844685917
2002,-20,FALSE,254.46,12723,12723
1993,3,FALSE,678.624365403585,19680.106596704,19680.106596704
1995,5,FALSE,723.039658725281,23550.4345984806,23550.4345984806
1998,-12,FALSE,959.990084027537,26207.7292939518,24767.7441679105
2000,-11,FALSE,1290.04735909765,33633.3775764744,27643.8719806639
2002,-8,FALSE,763.38,68873.84,41731.44
2004,-7,FALSE,568.12,30191.52,30191.52
1993,-4,FALSE,339.312182701793,11536.614211861,11536.614211861
1995,-2,FALSE,413.165519271589,17352.9518094067,17352.9518094067
2000,-4,TRUE,460.731199677731,14927.6908695585,14927.6908695585
2002,-2,TRUE,508.92,13740.84,13740.84
2004,14,TRUE,365.22,8765.28,8765.28
1993,-14,FALSE,565.520304502988,18775.2741094992,18775.2741094992
1995,-12,FALSE,671.393968816332,22001.0639012121,22001.0639012121
1998,-8,FALSE,479.995042013769,25042.8602456187,25042.8602456187
2000,-5,FALSE,460.731199677731,16586.3231883983,16586.3231883983
2002,-5,FALSE,424.1,15267.6,14249.76
2004,-2,FALSE,405.8,16394.32,15582.72
1993,-20,FALSE,1413.80076125747,53950.637049585,35853.9873054894
1995,-18,FALSE,1032.91379817897,35790.4631069014,30987.4139453692
1998,-15,FALSE,959.990084027537,34607.6425291927,28847.7020250275
2000,-12,FALSE,1151.82799919433,35061.6442954753,34831.2786956365
2002,-10,FALSE,2120.5,55005.77,44276.04
2004,-9,FALSE,1217.4,38956.8,38956.8
1993,12,TRUE,282.760152251494,9331.0850242993,9331.0850242993
1995,14,TRUE,258.228449544743,11165.7981583147,11165.7981583147
1998,16,TRUE,167.998264704819,14399.8512604131,14399.8512604131
1993,-20,FALSE,678.624365403585,15269.0482215807,15269.0482215807
1995,-18,FALSE,309.874139453692,13944.3362754161,13944.3362754161
1998,-16,FALSE,239.997521006884,8764.70946717142,8524.71194616453
2000,-14,FALSE,322.511839774412,12734.6103590925,8127.29836231517
2002,-12,FALSE,339.28,7990.044,7226.664
2004,-10,FALSE,243.48,13253.428,13147.92
1993,34,TRUE,565.520304502988,13742.1433994226,13742.1433994226
1995,36,TRUE,361.519829362641,15493.7069726846,15493.7069726846
1993,31,TRUE,395.864213152091,13572.4873080717,13572.4873080717
1995,48,TRUE,361.519829362641,12394.9655781477,12394.9655781477
1993,2,FALSE,678.624365403585,14929.7360388789,14929.7360388789
1995,4,FALSE,516.456899089487,17352.9518094067,17352.9518094067
1998,14,FALSE,575.994050416523,25343.738218327,23807.7540838829
2000,16,FALSE,645.023679548823,22115.0975845311,22115.0975845311
2002,17,FALSE,508.92,22604.53,17303.28
2004,19,TRUE,486.96,20776.96,17530.56
1993,19,TRUE,395.864213152091,11536.614211861,11536.614211861
1995,21,TRUE,309.874139453692,12394.9655781477,12394.9655781477
1993,-2,TRUE,904.83248720478,19934.5907337303,18888.3781703998
1998,9,TRUE,479.995042013769,13823.8572099965,13823.8572099965
2000,7,TRUE,552.877439613277,27293.0212112161,17617.6660179837
2002,9,TRUE,127.23,18749.461,17435.5992
2004,11,TRUE,568.12,18017.52,18017.52
1995,3,TRUE,309.874139453692,13014.7138570551,13014.7138570551
1993,-17,FALSE,395.864213152091,16965.6091350896,16965.6091350896
1995,-15,FALSE,413.165519271589,24015.2458076611,18850.6768167663
1998,-12,FALSE,479.995042013769,23702.1551746399,23231.7600334664
2000,-11,FALSE,276.438719806639,13868.0091102997,13729.7897503964
2002,-8,FALSE,424.1,21713.92,20865.72
2004,-6,FALSE,405.8,18869.7,15623.3
1993,-22,FALSE,565.520304502988,12893.8629426681,12893.8629426681
1995,-20,FALSE,516.456899089487,29747.9173875544,29747.9173875544
1993,-12,FALSE,904.83248720478,22394.6040583183,22394.6040583183
