grade,sex,age,mob,bulgnationality,langbulg,mumage,mumedu,mumprof,dadage,dadedu,dadprof,material,withbothpar,withmum,withdad,withneither,oldsiblings,youngsiblings,schoolmaths,schoolrakdelsve,schoolvazov,schoolfinance,schoolvarna,schoolspanish,schooltechuni,schoolvidin,schooluni,citysofia,cityvarna,cityvidin,treatment,drinkcoffee,cupsest,devi_cupsest,impworldecon,impincome,awarewaste,awarepesticide,awaredeforestation,awarewastewater,awarebiodiversityloss,awareunfairworking,reusepurposeful,reusesoil,choiceprice,choicetastepleasure,choiceenvironsocial
12,0,18,1,1,1,,2,,,,,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,,,4,5,1,1,2,3,3,1,1,2,4,5,3
12,0,18,6,1,1,,3,7,,2,4,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,300,200,4,5,1,2,1,1,1,3,3,2,6,6,6
12,0,18,2,1,1,,3,2,,3,7,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,,,4,5,1,1,2,1,2,3,2,3,3,5,4
12,1,18,1,1,1,46,3,2,50,3,7,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,,,4,5,3,3,4,3,4,4,2,3,6,6,6
12,1,18,9,1,1,46,,,52,,,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,,,1,,,,,,,,1,,,,
12,1,18,,1,1,49,3,7,,3,,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,,,4,5,3,3,4,4,4,4,2,3,5,3,2
12,1,18,2,1,1,50,,,53,3,4,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,600,100,4,5,1,1,1,2,1,1,3,3,3,5,
12,1,18,4,1,1,40,2,7,41,2,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,500,0,4,5,3,3,3,2,3,4,2,3,6,6,6
12,0,18,1,1,1,47,3,7,49,3,7,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,365,135,5,2,2,1,1,1,3,1,2,2,4,4,3
12,1,18,4,1,1,,,,,3,4,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,500,0,1,1,1,1,1,1,1,1,1,1,6,6,6
12,0,18,6,1,1,48,2,4,47,2,4,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1.5e+07,14999500,5,5,1,2,2,2,3,4,3,2,4,5,4
12,1,18,3,1,1,45,3,2,45,3,1,4,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,1,10000,9500,2,4,3,2,3,4,3,4,2,2,3,5,2
9,1,15,2,1,1,44,3,7,45,3,7,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1000,500,3,2,3,2,3,4,3,4,2,2,4,3,5
9,1,15,3,1,1,50,3,7,51,3,7,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,200,300,4,4,2,2,1,1,3,4,2,2,4,5,4
9,0,15,3,1,1,51,3,5,50,3,7,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,,,4,4,,,,,,,2,2,,,
9,0,15,3,1,1,40,3,7,,3,2,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,300,200,3,4,3,2,3,3,2,3,2,2,6,6,6
9,1,15,9,1,1,42,3,7,42,3,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,700,200,5,3,3,4,5,5,3,5,1,1,3,6,6
9,1,14,12,1,1,40,3,2,45,3,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,,,4,4,1,1,1,1,1,3,2,2,4,6,6
9,0,15,2,1,1,40,3,4,42,3,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,,3,5,2,1,4,4,3,4,2,2,6,6,6
9,0,15,7,1,1,,3,2,,3,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,365,135,5,4,3,3,4,4,5,3,2,2,4,5,1
9,0,15,5,1,1,41,3,4,41,3,4,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,,4,4,2,1,3,2,4,3,2,2,4,5,5
10,1,15,11,1,1,36,1,3,37,2,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,3,365,135,5,3,2,2,2,4,2,1,3,3,1,5,1
9,0,15,4,1,1,32,2,7,46,2,7,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1000,500,4,1,3,1,1,3,3,5,3,2,1,5,1
10,1,15,11,1,1,34,2,2,33,3,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,100,400,5,5,1,1,1,1,1,1,2,3,5,5,1
10,1,16,9,1,1,45,2,3,46,3,7,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1095,595,4,3,1,4,4,4,1,4,3,3,6,6,6
12,0,18,3,1,1,36,1,7,40,2,7,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,365,135,5,5,1,1,4,1,4,1,3,1,2,5,1
12,0,17,12,1,1,45,2,7,41,2,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,730,230,5,5,1,1,1,1,1,2,3,1,2,5,1
12,1,19,12,1,0,48,2,5,47,1,4,3,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2000,1500,4,1,1,1,1,1,1,2,3,3,6,6,6
8,1,14,5,1,1,40,3,7,43,2,7,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1500,1000,3,4,1,1,1,1,1,1,1,2,6,6,6
12,1,18,8,1,1,47,2,,,,,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1000,500,4,5,1,3,3,3,4,4,3,3,6,6,6
12,1,18,3,1,1,53,3,5,60,3,4,4,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2.5e+08,249999504,1,1,5,5,5,5,5,5,3,3,1,4,1
12,1,18,4,1,1,53,2,7,54,3,7,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,350,150,4,5,2,4,4,4,3,4,2,3,4,5,4
12,1,18,9,1,1,43,,,46,,,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,,,5,4,2,2,4,3,2,3,2,,2,5,4
12,0,18,10,1,1,40,2,5,,,,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1000,500,5,4,2,3,3,2,3,2,2,2,4,5,5
12,1,18,2,1,1,44,3,4,45,3,2,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,400,100,5,5,1,1,2,1,1,1,3,2,3,5,2
12,0,18,4,1,1,45,2,2,57,2,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,5,730,230,5,4,1,2,2,2,4,3,3,3,4,5,2
14,1,26,2,1,0,45,2,7,,,,3,0,0,0,1,,2,0,0,0,0,0,0,1,0,0,1,0,0,0,5,,,4,4,3,5,3,1,4,5,3,3,2,5,4
14,0,20,8,1,1,48,3,3,52,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,650,150,4,5,1,2,1,3,3,3,2,1,5,4,4
14,0,19,1,1,1,52,3,,58,3,,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,670,170,4,5,1,1,1,1,1,2,3,2,4,5,1
14,0,20,10,1,1,58,3,2,61,3,4,4,1,0,0,0,1,,0,0,0,0,0,0,1,0,0,1,0,0,1,3,500,0,4,5,2,2,2,1,1,2,3,3,4,5,3
14,0,22,1,1,1,42,3,7,46,3,3,3,1,0,0,0,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,800,300,4,5,4,4,4,4,4,4,3,3,4,4,5
17,0,22,3,1,1,47,3,2,50,3,2,3,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,1,4,500,0,5,4,1,1,2,2,3,4,3,3,4,5,1
17,0,23,9,1,1,53,3,2,,,6,,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,350,150,5,5,3,1,1,1,2,3,3,3,4,5,4
14,0,19,2,1,1,46,3,1,48,3,4,3,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,4,600,100,5,5,4,4,4,1,4,4,3,3,1,5,4
14,0,20,7,1,1,59,3,2,52,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,450,50,5,5,1,2,1,2,3,4,3,3,4,4,1
14,0,20,6,1,1,45,3,2,44,3,6,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,500,0,5,5,2,2,3,3,3,2,3,3,4,5,3
14,0,21,12,1,1,60,3,7,56,3,7,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,450,50,4,2,1,2,3,3,1,4,3,3,4,5,1
14,0,20,10,1,1,46,2,7,46,2,4,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,500,0,4,5,1,2,2,3,1,4,3,3,2,5,4
14,1,20,9,1,1,44,3,3,46,2,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,720,220,5,5,1,1,1,1,1,2,3,3,5,5,3
14,1,20,11,1,1,52,3,7,,,,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,500,0,5,5,3,2,3,2,3,2,3,3,4,4,3
14,0,20,10,1,1,53,3,4,53,2,4,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,600,100,3,4,1,1,1,1,1,3,3,3,2,5,1
14,1,22,4,1,1,47,3,3,48,3,3,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,300,200,4,5,2,2,3,2,3,3,3,3,6,6,6
14,0,20,8,1,1,52,2,4,52,3,4,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,365,135,5,5,2,3,3,3,3,5,3,3,1,5,4
12,0,18,1,1,1,60,3,2,,,,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,300,200,4,5,3,2,3,3,2,4,3,3,6,6,6
14,1,20,9,1,1,47,3,3,50,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,300,200,4,5,1,1,1,1,1,1,3,3,2,5,1
14,0,19,12,1,1,50,3,3,46,3,3,4,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,4,500,0,4,5,4,4,4,4,4,4,3,3,4,5,4
14,0,21,4,1,1,43,2,3,45,2,7,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2555,2055,3,4,2,4,1,4,3,4,3,3,3,5,1
14,0,20,11,1,1,52,2,3,49,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,730,230,4,5,1,3,1,1,1,3,3,3,6,6,6
14,0,20,8,1,1,42,2,7,45,2,7,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,5000,4500,2,4,1,1,1,1,1,1,3,2,3,5,2
14,0,25,12,1,1,30,3,,49,3,1,4,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,4,700,200,4,4,1,1,2,1,1,2,3,3,3,5,1
14,1,20,5,1,1,49,3,1,50,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3e+05,299500,3,4,1,1,1,1,2,1,3,2,3,5,4
14,0,20,6,1,1,44,2,4,46,2,5,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,5,500,0,4,4,2,2,3,3,3,4,3,3,4,5,1
14,0,20,11,1,1,44,3,1,45,2,4,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,500,0,3,2,1,2,3,3,3,4,3,3,4,5,1
14,0,20,8,1,1,42,2,4,46,2,5,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,4,365,135,4,5,1,1,1,2,1,4,3,3,4,5,4
14,0,20,2,1,1,57,3,7,,,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,850,350,3,4,3,3,3,4,4,5,3,3,4,5,3
15,0,21,10,1,1,,3,3,64,3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,730,230,4,5,1,1,3,2,1,3,3,3,3,4,2
15,0,21,4,1,1,44,2,3,51,2,3,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,720,220,3,5,2,2,2,3,1,4,3,2,4,5,2
15,0,21,4,1,1,53,3,7,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,,,4,4,2,2,2,3,2,3,2,2,3,4,4
15,0,20,12,1,1,52,3,5,59,2,3,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,1000,500,5,5,1,1,1,1,1,1,2,2,3,4,3
14,1,20,7,1,1,51,3,7,55,3,7,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,400,100,4,5,2,2,3,1,4,4,3,3,2,4,2
10,0,16,9,1,1,43,2,2,48,3,4,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,,,4,4,1,2,4,4,4,4,2,3,6,6,6
17,0,26,5,1,1,55,2,6,,,,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,4,356,144,3,4,2,2,2,2,2,2,3,3,4,5,4
15,1,22,2,1,1,40,3,5,54,3,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,500,0,5,3,3,3,2,4,3,4,3,3,6,6,6
14,0,20,9,1,1,47,3,3,49,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,500,0,4,5,1,1,3,1,1,3,3,3,3,5,3
11,1,17,7,1,1,53,3,7,59,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3000,2500,4,4,1,2,2,1,2,3,1,2,6,6,6
12,0,18,7,1,1,54,3,2,55,3,7,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,300,200,4,4,2,2,2,2,2,3,3,3,4,5,3
12,0,18,5,1,1,45,3,4,50,3,4,4,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,1,650,150,4,3,3,2,1,2,3,4,2,2,6,6,6
12,0,18,5,1,1,45,1,5,49,2,7,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,365,135,4,4,4,4,4,4,4,4,3,1,6,6,6
12,0,18,9,1,1,60,3,,65,2,,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,1000,500,4,4,1,1,1,1,1,3,3,2,4,4,4
12,1,18,5,1,1,,3,7,,3,7,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,400,100,5,4,4,4,3,2,4,5,3,1,6,6,6
12,0,18,11,1,1,43,3,2,41,3,2,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,500,0,4,4,1,4,4,2,3,3,3,3,6,6,6
12,1,17,,1,1,,3,4,,3,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,360,140,5,5,3,4,2,2,2,5,2,2,5,5,2
12,0,18,2,1,1,43,2,7,45,3,7,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,400,100,4,3,2,2,2,2,2,2,1,2,5,4,4
12,1,18,8,1,1,40,2,4,43,2,4,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,400,100,4,5,1,1,1,1,2,3,3,3,2,5,2
12,0,18,5,1,1,40,2,3,44,2,3,4,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,4,,,,4,2,1,1,4,4,4,2,2,4,5,5
12,1,18,2,1,1,,,,,,,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,420,80,4,3,3,3,4,3,3,4,1,2,3,5,3
12,0,18,8,1,0,45,3,4,43,3,7,5,0,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,1,10,490,2,5,3,1,2,3,,4,2,2,6,6,6
12,0,18,7,1,1,43,2,4,43,2,4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,365,135,4,5,2,2,3,4,3,3,2,2,4,4,4
9,0,15,7,1,1,41,3,4,41,3,7,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,500,0,5,3,1,2,2,3,1,4,3,2,6,6,6
15,1,21,5,1,1,54,3,7,50,2,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,120,380,2,2,3,1,1,1,1,3,3,1,3,5,2
15,1,22,11,1,1,46,3,4,47,3,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,500,0,5,5,5,5,2,3,4,5,2,2,4,5,4
14,0,20,1,1,1,47,2,5,49,2,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,200,300,4,5,3,2,1,2,2,3,2,2,4,5,4
14,0,20,7,1,1,40,2,4,43,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,250,250,3,4,4,2,4,4,4,3,3,3,6,6,6
14,1,21,10,1,1,45,2,2,45,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1000,500,3,4,1,2,3,1,3,4,1,2,3,5,2
14,1,19,4,1,1,43,2,4,,,,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,400,100,3,5,5,4,4,3,5,2,3,3,3,5,2
14,0,19,2,1,1,64,3,5,63,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,450,50,3,5,1,2,1,1,1,2,2,2,3,5,1
14,0,20,5,1,1,42,3,2,44,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,500,0,5,5,3,4,3,2,4,4,3,3,2,5,3
14,0,20,6,1,1,60,3,4,69,2,6,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,400,100,5,4,1,1,1,1,1,2,3,3,2,3,5
14,0,19,12,1,1,43,2,1,46,3,7,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1095,595,5,5,1,3,2,2,3,4,2,3,3,5,2
14,1,20,5,1,1,43,3,5,55,2,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,800,300,4,3,2,2,4,3,2,4,2,2,4,4,2
14,1,22,4,1,1,49,3,7,49,3,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,480,20,4,4,4,4,4,3,2,4,3,3,4,5,3
14,0,20,11,1,1,45,3,2,56,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,700,200,4,4,2,2,2,1,1,3,3,3,3,5,2
14,0,20,2,1,1,38,2,4,44,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,400,100,4,5,3,4,4,5,5,4,3,3,4,5,4
14,0,19,12,1,1,53,3,4,46,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,500,0,4,4,2,3,4,4,3,4,2,3,4,5,4
14,0,19,4,1,1,48,3,3,46,3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,300,200,4,5,3,4,4,3,4,5,3,3,1,5,4
14,0,20,8,1,1,50,2,3,54,2,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,350,150,4,4,1,3,1,2,2,4,3,2,3,4,3
14,0,20,9,1,1,43,3,7,39,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,500,0,4,5,4,3,3,4,2,4,3,2,3,4,1
