name,genre,platform,esrbrating,publisher,year,metascore,userscore,sales
Gran Turismo 3: A-Spec,Racing,PlayStation 2,E,Sony,2001,95,84,14.89
Brain Age 2: More Training in Minutes a Day,Misc,Nintendo DS,E,Nintendo,2007,77,73,14.88
Call of Duty: Modern Warfare 3,Shooter,Xbox 360,M,ActivisionBlizzard,2011,88,34,14.82
Call of Duty: Black Ops,Shooter,Xbox 360,M,ActivisionBlizzard,2010,87,65,14.74
Halo 3,Shooter,Xbox 360,M,Microsoft,2007,94,79,14.5
Pokemon Omega Ruby/Pokemon Alpha Sapphire,RPG,Nintendo 3DS,E,Nintendo,2014,82,87,14.17
Red Dead Redemption 2,Action,PlayStation 4,M,RockstarGames,2018,97,81,13.94
Call of Duty: Black Ops II,Shooter,Xbox 360,M,ActivisionBlizzard,2012,83,50,13.86
Call of Duty: Black Ops II,Shooter,PlayStation 3,M,ActivisionBlizzard,2012,83,55,13.8
Super Mario Odyssey,Action,Nintendo Switch,E,Nintendo,2017,97,89,13.76
Call of Duty: Modern Warfare 2,Shooter,Xbox 360,M,ActivisionBlizzard,2009,94,65,13.53
Call of Duty: WWII,Shooter,PlayStation 4,M,ActivisionBlizzard,2017,79,43,13.4
Call of Duty: Modern Warfare 3,Shooter,PlayStation 3,M,ActivisionBlizzard,2011,88,32,13.35
Super Smash Bros. Brawl,Fighting,Wii,T,Nintendo,2008,93,88,13.29
Grand Theft Auto III,Action,PlayStation 2,M,RockstarGames,2001,97,84,13.1
New Super Mario Bros. 2,Action,Nintendo 3DS,E,Nintendo,2012,78,72,13.08
Portal 2,Shooter,PC,E,Other,2011,95,90,13.06
Minecraft,Misc,Xbox 360,E,Microsoft,2013,82,72,13
Super Mario Galaxy,Action,Wii,E,Nintendo,2007,97,90,12.78
Pokemon Heart Gold / Soul Silver Version,RPG,Nintendo DS,E,Nintendo,2010,87,90,12.72
Call of Duty: Black Ops,Shooter,PlayStation 3,M,ActivisionBlizzard,2010,88,66,12.67
Grand Theft Auto V,Action,PC,M,RockstarGames,2015,96,77,12.6
Super Mario 3D Land,Action,Nintendo 3DS,E,Nintendo,2011,90,84,12.41
Animal Crossing: New Leaf,Simulation,Nintendo 3DS,E,Nintendo,2013,88,87,12.1
Super Smash Bros. Ultimate,Fighting,Nintendo Switch,E,Nintendo,2018,93,87,12.08
Diablo III,RPG,PC,M,ActivisionBlizzard,2012,88,41,12
Pokemon FireRed / LeafGreen Version,RPG,Game Boy Advance,E,Nintendo,2004,81,87,12
Gran Turismo 5,Racing,PlayStation 3,E,Sony,2010,84,78,11.95
FIFA 18,Sports,PlayStation 4,E,EA,2017,84,34,11.8
Gran Turismo 4,Racing,PlayStation 2,E,Sony,2005,89,87,11.76
Animal Crossing: Wild World,Simulation,Nintendo DS,E,Nintendo,2005,86,86,11.75
The Legend of Zelda: Breath of the Wild,Action,Nintendo Switch,E,Nintendo,2017,97,86,11.68
Grand Theft Auto IV,Action,Xbox 360,M,RockstarGames,2008,98,79,11.09
Super Mario 64 DS,Action,Nintendo DS,E,Nintendo,2004,85,82,11.06
Terraria,Action,PC,T,Other,2011,83,86,11
FIFA 17,Sports,PlayStation 4,E,EA,2016,85,48,10.94
Call of Duty: Modern Warfare 2,Shooter,PlayStation 3,M,ActivisionBlizzard,2009,94,65,10.61
Grand Theft Auto IV,Action,PlayStation 3,M,RockstarGames,2008,98,75,10.57
Call of Duty: Ghosts,Shooter,Xbox 360,M,ActivisionBlizzard,2013,73,27,10.41
Just Dance 3,Misc,Wii,E,Ubisoft,2011,74,78,10.14
Call of Duty: Ghosts,Shooter,PlayStation 3,M,ActivisionBlizzard,2013,71,27,10.13
Horizon: Zero Dawn,Action,PlayStation 4,T,Sony,2017,89,84,10
"Pokemon: Let's Go, Pikachu/Eevee",RPG,Nintendo Switch,E,Nintendo,2018,,,10
RollerCoaster Tycoon 3,Strategy,PC,E,Other,2004,81,52,10
Halo: Reach,Shooter,Xbox 360,M,Microsoft,2010,91,82,9.97
Portal,Shooter,PC,T,Other,2008,90,92,9.97
Halo 4,Shooter,Xbox 360,M,Microsoft,2012,87,70,9.96
Super Smash Bros. for 3DS,Fighting,Nintendo 3DS,E,Nintendo,2014,85,86,9.45
Call of Duty 4: Modern Warfare,Shooter,Xbox 360,M,ActivisionBlizzard,2007,94,85,9.41
Wii Party,Misc,Wii,E,Nintendo,2010,68,77,9.32
Call of Duty: Black Ops IIII,Shooter,PlayStation 4,M,ActivisionBlizzard,2018,83,40,9.32
Mario Party DS,Misc,Nintendo DS,E,Nintendo,2007,72,78,9.31
FIFA 19,Sports,PlayStation 4,E,EA,2018,83,17,9.15
Rust,Action,PC,,Other,2018,69,62,9.15
Marvel's Spider-Man,Action,PlayStation 4,T,Sony,2018,87,86,9
Half-Life 2,Shooter,PC,M,Other,2004,96,91,8.88
The Elder Scrolls V: Skyrim,RPG,Xbox 360,M,Other,2011,96,85,8.88
Mario Party 8,Misc,Wii,E,Nintendo,2007,62,64,8.85
Grand Theft Auto V,Action,Xbox One,M,RockstarGames,2014,97,78,8.72
Uncharted 4: A Thief's End,Action,PlayStation 4,T,Sony,2016,93,84,8.7
Final Fantasy X,RPG,PlayStation 2,T,Other,2001,92,90,8.6
Pokemon Black 2 and White 2,RPG,Nintendo DS,E,Nintendo,2012,,,8.52
Call of Duty: Infinite Warfare,Shooter,PlayStation 4,M,ActivisionBlizzard,2016,77,38,8.48
Fallout 4,RPG,PlayStation 4,M,Other,2015,87,66,8.48
Mario Kart 8,Racing,Wii U,E,Nintendo,2014,88,89,8.42
Pokemon: Ultra Sun and Ultra Moon,RPG,Nintendo 3DS,E,Nintendo,2017,84,87,8.28
Splatoon 2,Shooter,Nintendo Switch,E,Nintendo,2017,83,85,8.27
FIFA 16,Sports,PlayStation 4,E,EA,2015,82,44,8.22
Star Wars Battlefront (2015),Shooter,PlayStation 4,T,EA,2015,73,50,8.03
FIFA 13,Sports,PlayStation 3,E,EA,2012,88,67,8.01
Halo 2,Shooter,Xbox,M,Microsoft,2004,95,83,8
The Sims 3,Simulation,PC,T,EA,2009,86,77,7.96
Grand Theft Auto: Liberty City Stories,Action,PlayStation Portable,M,RockstarGames,2005,88,77,7.72
Pokemon Platinum Version,RPG,Nintendo DS,E,Nintendo,2009,83,83,7.6
Call of Duty: Advanced Warfare,Shooter,PlayStation 4,M,ActivisionBlizzard,2014,83,57,7.53
Call of Duty: World at War,Shooter,Xbox 360,M,ActivisionBlizzard,2008,84,76,7.5
Super Mario Galaxy 2,Action,Wii,E,Nintendo,2010,97,91,7.41
Call of Duty: Black Ops 3,Shooter,Xbox One,M,ActivisionBlizzard,2015,81,45,7.37
Battlefield 3,Shooter,Xbox 360,M,EA,2011,84,75,7.35
The Legend of Zelda: Twilight Princess,Adventure,Wii,T,Nintendo,2006,95,90,7.26
Battlefield 1,Shooter,PlayStation 4,M,EA,2016,89,79,7.26
Battlefield 3,Shooter,PlayStation 3,M,EA,2011,85,75,7.21
Need for Speed Underground,Racing,PlayStation 2,E,EA,2003,85,87,7.2
The Binding of Isaac,Action,PC,,Other,2011,84,84,7.17
Pokemon Emerald Version,RPG,Game Boy Advance,E,Nintendo,2005,76,84,7.06
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,RPG,Nintendo 3DS,E,Nintendo,2016,73,82,7.03
Need for Speed Underground 2,Racing,PlayStation 2,E,EA,2004,82,86,6.9
Just Dance 4,Misc,Wii,E,Ubisoft,2012,74,75,6.89
Uncharted 3: Drake's Deception,Action,PlayStation 3,T,Sony,2011,92,84,6.84
Medal of Honor: Frontline,Shooter,PlayStation 2,T,EA,2002,88,84,6.83
Zumba Fitness,Sports,Wii,E,Other,2010,,,6.76
Uncharted 2: Among Thieves,Action,PlayStation 3,T,Sony,2009,96,89,6.74
Call of Duty 4: Modern Warfare,Shooter,PlayStation 3,M,ActivisionBlizzard,2007,94,84,6.72
FIFA Soccer 12,Sports,PlayStation 3,E,EA,2011,90,72,6.65
FIFA 14,Sports,PlayStation 3,E,EA,2013,86,43,6.61
Red Dead Redemption,Action,PlayStation 3,M,RockstarGames,2011,95,89,6.57
Donkey Kong Country Returns,Action,Wii,E,Nintendo,2010,87,86,6.53
Assassin's Creed III,Action,PlayStation 3,M,Ubisoft,2012,85,69,6.5
Guild Wars,RPG,PC,T,Other,2005,89,83,6.5
Red Dead Redemption,Action,Xbox 360,M,RockstarGames,2010,95,90,6.5
The Elder Scrolls V: Skyrim,RPG,PlayStation 3,M,Other,2011,92,66,6.49
Final Fantasy XII,RPG,PlayStation 2,T,SquareEnix,2006,92,75,6.4
Tomodachi Life,Simulation,Nintendo 3DS,E,Nintendo,2014,71,77,6.4
Halo 3: ODST,Shooter,Xbox 360,M,Microsoft,2009,83,74,6.35
Minecraft,Misc,PlayStation 4,E,Sony,2014,89,65,6.33
FIFA 15,Sports,PlayStation 4,E,EA,2014,82,56,6.32
Kingdom Hearts,RPG,PlayStation 2,E,Other,2002,85,89,6.3
The Last of Us,Action,PlayStation 3,M,Sony,2013,95,92,6.27
Call of Duty: WWII,Shooter,Xbox One,M,ActivisionBlizzard,2017,80,41,6.23
God of War (2018),Action,PlayStation 4,M,Sony,2018,94,91,6.15
Big Brain Academy,Misc,Nintendo DS,E,Nintendo,2006,74,75,6.15
Minecraft,Misc,PlayStation 3,E,Sony,2014,86,67,6.05
Metal Gear Solid 2: Sons of Liberty,Action,PlayStation 2,M,Other,2001,96,88,6.05
Metal Gear Solid 4: Guns of the Patriots,Action,PlayStation 3,M,Other,2008,94,88,6
Euro Truck Simulator 2,Simulation,PC,,Other,2013,79,87,5.98
Mario Kart: Super Circuit,Racing,Game Boy Advance,E,Nintendo,2001,93,81,5.91
LittleBigPlanet,Action,PlayStation 3,E,Sony,2008,95,68,5.85
Age of Empires II: HD Edition,Strategy,PC,T,Microsoft,2013,68,79,5.82
Super Mario 3D World,Action,Wii U,E,Nintendo,2013,93,89,5.8
Link's Crossbow Training,Shooter,Wii,T,Nintendo,2007,68,71,5.79
Red Dead Redemption 2,Action,Xbox One,M,RockstarGames,2018,97,76,5.77
New Super Mario Bros. U,Action,Wii U,E,Nintendo,2012,84,80,5.77
Destiny,Shooter,PlayStation 4,T,ActivisionBlizzard,2014,76,61,5.76
Luigi's Mansion: Dark Moon,Adventure,Nintendo 3DS,E,Nintendo,2013,86,85,5.75
Uncharted: The Nathan Drake Collection,Action,PlayStation 4,T,Sony,2015,86,85,5.7
Super Mario World: Super Mario Advance 2,Action,Game Boy Advance,E,Nintendo,2002,92,89,5.69
LEGO Star Wars: The Complete Saga,Action,Wii,E,Other,2007,80,86,5.66
Cooking Mama,Simulation,Nintendo DS,E,Other,2006,67,73,5.66
The Legend of Zelda: Ocarina of Time 3D,Action,Nintendo 3DS,E,Nintendo,2011,94,90,5.62
Super Mario Advance,Action,Game Boy Advance,E,Nintendo,2001,84,73,5.57
Assassin's Creed II,Action,PlayStation 3,M,Ubisoft,2009,91,86,5.57
Assassin's Creed,Action,Xbox 360,M,Ubisoft,2007,81,76,5.55
Batman: Arkham City,Action,PlayStation 3,T,Other,2011,96,87,5.54
Forza Motorsport 3,Racing,Xbox 360,E,Microsoft,2009,92,81,5.5
Dragon Quest IX: Sentinels of the Starry Skies,RPG,Nintendo DS,E,Nintendo,2010,87,85,5.5
Final Fantasy X-2,RPG,PlayStation 2,T,SquareEnix,2003,85,76,5.5
Tomb Raider (2013),Action,PC,M,SquareEnix,2013,86,84,5.5
The Witcher 3: Wild Hunt,RPG,PC,M,Other,2015,93,94,5.48
Minecraft,Misc,Xbox One,E,Microsoft,2014,88,67,5.43
Call of Duty: World at War,Shooter,PlayStation 3,M,ActivisionBlizzard,2008,85,76,5.43
Super Mario Advance 4: Super Mario Bros. 3,Action,Game Boy Advance,E,Nintendo,2003,94,89,5.43
Crash Bandicoot: The Wrath of Cortex,Action,PlayStation 2,E,Other,2001,66,71,5.42
The Witcher 3: Wild Hunt,RPG,PlayStation 4,M,Other,2015,92,92,5.39
Final Fantasy XIII,RPG,PlayStation 3,T,SquareEnix,2010,83,72,5.35
Gran Turismo 5 Prologue,Racing,PlayStation 3,E,Sony,2008,80,71,5.35
Super Smash Bros. for Wii U,Fighting,Wii U,E,Nintendo,2014,92,89,5.35
Assassin's Creed III,Action,Xbox 360,M,Ubisoft,2012,84,68,5.31
Assassin's Creed II,Action,Xbox 360,M,Ubisoft,2009,90,88,5.3
Super Mario Party,Misc,Nintendo Switch,E,Nintendo,2018,76,74,5.3
The Forest,Misc,PC,,Other,2014,83,73,5.3
Just Dance 2,Misc,Wii,E,Ubisoft,2010,74,73,5.25
Madden NFL 2004,Sports,PlayStation 2,E,EA,2003,94,82,5.23
Call of Duty: Advanced Warfare,Shooter,Xbox One,M,ActivisionBlizzard,2014,81,55,5.22
Fallout: New Vegas,RPG,PC,M,Other,2010,84,87,5.22
Gran Turismo 6,Racing,PlayStation 3,E,Sony,2013,81,80,5.22
Kingdom Hearts II,RPG,PlayStation 2,E,SquareEnix,2006,87,90,5.2
God of War III,Action,PlayStation 3,M,Sony,2010,92,88,5.2
Nintendo Land,Misc,Wii U,E,Nintendo,2012,77,79,5.19
Medal of Honor: Rising Sun,Shooter,PlayStation 2,T,EA,2003,68,76,5.13
Battlefield 1,Shooter,Xbox One,M,EA,2016,87,76,5.13
Guitar Hero II,Misc,PlayStation 2,T,Other,2006,92,84,5.12
FIFA 13,Sports,Xbox 360,E,EA,2012,90,62,5.11
Resident Evil 5,Action,PlayStation 3,M,Other,2009,84,75,5.1
Fable III,RPG,Xbox 360,M,Microsoft,2010,80,65,5.1
Mario & Sonic at the Olympic Games,Sports,Nintendo DS,E,Sega,2008,70,70,5.1
Grand Theft Auto: Vice City Stories,Action,PlayStation Portable,M,RockstarGames,2006,86,82,5.08
FIFA Soccer 11,Sports,PlayStation 3,E,EA,2010,89,81,5.08
Final Fantasy XV,RPG,PlayStation 4,T,SquareEnix,2016,81,76,5.07
Fallout 4,RPG,Xbox One,M,Other,2015,88,65,5.03
Cities: Skylines,Simulation,PC,E,Other,2015,85,89,5
Gears of War,Shooter,Xbox 360,M,Microsoft,2006,94,83,5
Gears of War 2,Shooter,Xbox 360,M,Microsoft,2008,93,78,5
Guild Wars 2,RPG,PC,T,Other,2012,90,81,5
Halo 5: Guardians,Shooter,Xbox One,T,Microsoft,2015,84,65,5
Halo: Combat Evolved,Shooter,Xbox,M,Microsoft,2001,97,85,5
Guitar Hero III: Legends of Rock,Misc,PlayStation 2,T,Other,2007,82,84,4.98
Uncharted: Drake's Fortune,Action,PlayStation 3,T,Sony,2007,88,80,4.97
Fallout 3,RPG,Xbox 360,M,Other,2008,93,85,4.96
Splatoon,Shooter,Wii U,E,Nintendo,2015,81,87,4.94
Madden NFL 06,Sports,PlayStation 2,E,EA,2005,88,80,4.91
Stardew Valley,Simulation,PC,E,Other,2016,89,87,4.91
Dragon Quest VIII: Journey of the Cursed King,RPG,PlayStation 2,T,SquareEnix,2005,89,86,4.9
Monster Hunter Freedom 3,RPG,PlayStation Portable,,Other,2010,,,4.9
Pokemon Mystery Dungeon: Explorers of Time / Darkness,RPG,Nintendo DS,E,Nintendo,2008,59,84,4.88
Call of Duty: Black Ops IIII,Shooter,Xbox One,M,ActivisionBlizzard,2018,85,40,4.85
Crash Bandicoot N. Sane Trilogy,Action,PlayStation 4,E,ActivisionBlizzard,2017,80,85,4.83
Assassin's Creed,Action,PlayStation 3,M,Ubisoft,2007,81,73,4.83
Call of Duty: Infinite Warfare,Shooter,Xbox One,M,ActivisionBlizzard,2016,78,37,4.79
LEGO Star Wars: The Complete Saga,Action,Nintendo DS,E,Other,2007,80,57,4.77
The Legend of Zelda: Phantom Hourglass,Adventure,Nintendo DS,E,Nintendo,2007,90,80,4.76
Batman: Arkham City,Action,Xbox 360,T,Other,2011,94,87,4.75
The Simpsons: Hit & Run,Racing,PlayStation 2,T,Other,2003,78,86,4.7
World of Warcraft: Cataclysm,RPG,PC,T,ActivisionBlizzard,2010,90,56,4.7
Monster Hunter: World,Action,PlayStation 4,T,Other,2018,90,77,4.67
Gran Turismo,Racing,PlayStation Portable,E,Sony,2009,74,74,4.67
The Lord of the Rings: The Two Towers,Action,PlayStation 2,T,EA,2002,82,81,4.67
God of War,Action,PlayStation 2,M,Sony,2005,94,89,4.62
Forza Motorsport 4,Racing,Xbox 360,E,Microsoft,2011,91,82,4.6
Guitar Hero III: Legends of Rock,Misc,Wii,T,Other,2007,86,78,4.6
"Pokemon: Let's Go, Pikachu!",RPG,Nintendo Switch,E,Nintendo,2018,79,61,4.57
BioShock Infinite,Shooter,PC,M,Other,2013,94,86,4.56
Mario & Luigi: Bowser's Inside Story,RPG,Nintendo DS,E,Nintendo,2009,90,88,4.56
FIFA 15,Sports,PlayStation 3,E,EA,2014,,,4.56
Mario & Sonic at the Olympic Winter Games,Sports,Wii,E,Sega,2009,72,74,4.54
Overwatch,Shooter,PlayStation 4,T,ActivisionBlizzard,2016,90,63,4.54
Madden NFL 2005,Sports,PlayStation 2,E,EA,2004,91,80,4.53
Guitar Hero III: Legends of Rock,Misc,Xbox 360,T,Other,2007,85,80,4.53
Star Wars Battlefront II (2017),Shooter,PlayStation 4,T,EA,2017,68,12,4.53
Dead Island,Action,PC,M,Other,2011,80,69,4.52
Arma 2: Operation Arrowhead,Shooter,PC,M,Other,2011,73,81,4.51
ARK: Survival Evolved,Action,PC,T,Other,2015,70,53,4.5
StarCraft II: Wings of Liberty,Strategy,PC,T,ActivisionBlizzard,2010,93,83,4.5
Warcraft III: Reign of Chaos,Strategy,PC,T,ActivisionBlizzard,2002,92,91,4.5
Professor Layton and the Curious Village,Adventure,Nintendo DS,E,Nintendo,2008,85,84,4.49
Madden NFL 07,Sports,PlayStation 2,E,EA,2006,84,81,4.49
Spider-Man: The Movie,Action,PlayStation 2,E,ActivisionBlizzard,2002,76,76,4.48
Nintendogs + cats,Simulation,Nintendo 3DS,E,Nintendo,2011,71,71,4.48
The Elder Scrolls IV: Oblivion,RPG,Xbox 360,M,Other,2009,94,87,4.47
Tony Hawk's Pro Skater 3,Sports,PlayStation 2,T,ActivisionBlizzard,2001,97,75,4.41
Winning Eleven: Pro Evolution Soccer 2007,Sports,PlayStation 2,E,Other,2007,86,89,4.39
Michael Jackson: The Experience,Misc,Wii,E,Ubisoft,2010,56,84,4.37
Tom Clancy's The Division,Shooter,PlayStation 4,M,Ubisoft,2016,80,70,4.37
Need for Speed: Most Wanted,Racing,PlayStation 2,T,EA,2005,82,89,4.37
Resistance: Fall of Man,Shooter,PlayStation 3,M,Sony,2006,86,81,4.37
Tom Clancy's Rainbow Six: Siege,Shooter,PlayStation 4,M,Ubisoft,2015,73,74,4.36
Call of Duty: Advanced Warfare,Shooter,Xbox 360,M,ActivisionBlizzard,2014,,,4.34
Watch Dogs,Action,PlayStation 4,M,Ubisoft,2014,80,64,4.32
Animal Crossing: City Folk,Simulation,Wii,E,Nintendo,2008,73,77,4.32
Starbound,Misc,PC,E,Other,2014,81,72,4.31
Monster Hunter Generations,Action,Nintendo 3DS,T,Other,2016,85,80,4.3
Batman: Arkham Asylum,Action,PlayStation 3,T,Other,2009,91,88,4.28
Call of Duty: Advanced Warfare,Shooter,PlayStation 3,M,ActivisionBlizzard,2014,,,4.27
God of War II,Action,PlayStation 2,M,Sony,2007,93,89,4.24
Namco Museum,Misc,Game Boy Advance,E,BandaiNamco,2001,79,76,4.24
Daxter,Action,PlayStation Portable,E,Sony,2006,85,85,4.23
Super Paper Mario,Action,Wii,E,Nintendo,2007,85,80,4.23
Assassin's Creed: Revelations,Action,PlayStation 3,M,Ubisoft,2011,80,76,4.23
Metal Gear Solid 3: Snake Eater,Action,PlayStation 2,M,Other,2004,91,91,4.23
Assassin's Creed: Revelations,Action,Xbox 360,M,Ubisoft,2011,80,72,4.22
FIFA Soccer 06,Sports,PlayStation 2,E,EA,2005,80,78,4.21
Monster Hunter 4 Ultimate,RPG,Nintendo 3DS,T,Other,2015,86,86,4.2
Street Fighter IV,Fighting,PlayStation 3,T,Other,2009,94,73,4.19
7 Days to Die,Action,PC,M,Other,2013,,,4.18
FIFA Soccer 12,Sports,Xbox 360,E,EA,2011,90,68,4.18
Call of Duty: Ghosts,Shooter,PlayStation 4,M,ActivisionBlizzard,2013,78,38,4.17
Just Cause 2,Action,PC,M,Other,2010,84,77,4.16
Star Wars Battlefront (2015),Shooter,Xbox One,T,EA,2015,75,45,4.15
FIFA 14,Sports,Xbox 360,E,EA,2013,84,43,4.15
Madden NFL 2003,Sports,PlayStation 2,E,EA,2002,95,75,4.14
Assassin's Creed: Unity,Action,PlayStation 4,M,Ubisoft,2014,70,51,4.14
Destiny 2,Shooter,PlayStation 4,T,ActivisionBlizzard,2017,85,49,4.14
Batman: Arkham Knight,Action,PlayStation 4,M,Other,2015,87,78,4.11
FIFA 07 Soccer,Sports,PlayStation 2,E,EA,2006,82,77,4.11
The Sims 4,Simulation,PC,T,EA,2014,70,41,4.1
Monster Hunter 4,RPG,Nintendo 3DS,T,Other,2013,86,86,4.1
Fallout: New Vegas,RPG,Xbox 360,M,Other,2010,84,83,4.08
Assassin's Creed Origins,Action,PlayStation 4,M,Ubisoft,2017,81,72,4.06
Far Cry 4,Shooter,PlayStation 4,M,Ubisoft,2014,85,77,4.06
Carnival Games,Misc,Wii,E,Other,2007,56,60,4.06
World Soccer Winning Eleven 9,Sports,PlayStation 2,E,Other,2006,,,4.06
Forza Motorsport 2,Racing,Xbox 360,E,Microsoft,2007,90,83,4.05
Tekken Tag Tournament,Fighting,PlayStation 2,T,BandaiNamco,2000,85,85,4.05
Diablo II,RPG,PC,M,ActivisionBlizzard,2000,88,88,4
EyeToy Play,Misc,PlayStation 2,E,Sony,2003,80,75,4
Just Dance,Misc,Wii,E,Ubisoft,2009,49,79,4
Super Mario Maker,Action,Wii U,E,Nintendo,2015,88,88,4
World of Warcraft: Wrath of the Lich King,RPG,PC,T,ActivisionBlizzard,2008,91,77,4
Fallout 3,RPG,PlayStation 3,M,Other,2008,90,79,4
The Elder Scrolls V: Skyrim,RPG,PC,M,Other,2011,94,82,3.99
Namco Museum: 50th Anniversary,Misc,PlayStation 2,E,BandaiNamco,2005,61,58,3.98
NBA 2K16,Sports,PlayStation 4,E,Other,2015,87,67,3.98
Left 4 Dead 2,Shooter,Xbox 360,M,EA,2009,89,86,3.97
Far Cry 5,Action,PlayStation 4,M,Ubisoft,2018,81,68,3.95
Battlefield 4,Shooter,PlayStation 4,M,EA,2013,85,70,3.94
Assassin's Creed IV: Black Flag,Action,PlayStation 3,M,Ubisoft,2013,88,81,3.94
EA Sports Active,Sports,Wii,E,EA,2009,81,82,3.93
Half-Life 2: Episode One,Shooter,PC,M,EA,2006,87,86,3.92
English Training: Have Fun Improving Your Skills!,Misc,Nintendo DS,,Nintendo,2006,,,3.91
Tony Hawk's Underground,Sports,PlayStation 2,T,ActivisionBlizzard,2003,90,87,3.9
Just Dance 2014,Misc,Wii,E,Ubisoft,2013,,,3.89
Professor Layton and the Diabolical Box,Adventure,Nintendo DS,E,Nintendo,2009,84,85,3.88
Sports Champions,Sports,PlayStation 3,E,Sony,2010,76,79,3.88
MotorStorm,Racing,PlayStation 3,T,Sony,2007,84,74,3.87
World Soccer Winning Eleven 8 International,Sports,PlayStation 2,E,Other,2005,91,84,3.85
Resident Evil VII: Biohazard,Action,PlayStation 4,M,Other,2017,86,79,3.83
Monster Hunter Freedom Unite,RPG,PlayStation Portable,T,Other,2009,81,85,3.8
Gran Turismo Sport,Racing,PlayStation 4,E,Sony,2017,75,61,3.77
LEGO Indiana Jones: The Original Adventures,Adventure,Xbox 360,E,Other,2008,77,77,3.76
The Sims: Unleashed,Simulation,PC,T,EA,2002,79,76,3.76
Tomodachi Collection,Misc,Nintendo DS,,Nintendo,2009,,,3.76
Ratchet & Clank: Size Matters,Action,PlayStation Portable,E,Sony,2007,85,81,3.75
FIFA 17,Sports,Xbox One,E,EA,2016,84,51,3.71
The Legend of Zelda: A Link Between Worlds,Adventure,Nintendo 3DS,E,Nintendo,2013,91,90,3.71
FIFA Soccer 2005,Sports,PlayStation 2,E,EA,2004,81,76,3.7
Diablo III: Reaper of Souls,Action,PC,M,ActivisionBlizzard,2014,87,66,3.7
The Legend of Zelda: Skyward Sword,Adventure,Wii,T,Nintendo,2011,93,81,3.67
Tony Hawk's Pro Skater 4,Sports,PlayStation 2,T,ActivisionBlizzard,2002,94,84,3.67
Midnight Club 3: DUB Edition,Racing,PlayStation Portable,E,RockstarGames,2005,74,85,3.66
MySims,Simulation,Nintendo DS,E,EA,2007,67,70,3.66
SOCOM: U.S. Navy SEALs,Shooter,PlayStation 2,M,Sony,2002,82,79,3.65
Battlefield 4,Shooter,PlayStation 3,M,EA,2013,80,59,3.64
Jak and Daxter: The Precursor Legacy,Action,PlayStation 2,E,Sony,2001,90,88,3.64
Pro Evolution Soccer 2008,Sports,PlayStation 2,E,Other,2008,82,78,3.63
FIFA Soccer 10,Sports,PlayStation 3,E,EA,2009,91,75,3.63
Guitar Hero: World Tour,Misc,Wii,T,ActivisionBlizzard,2008,86,75,3.62
Gears of War: Ultimate Edition,Shooter,Xbox One,M,Microsoft,2015,82,76,3.62
Star Wars Battlefront,Shooter,PlayStation 2,T,Other,2004,82,87,3.61
