wexpect1,wexpect2,wexpect1othersex,wexpect2othersex,male,business,econ,communi,businform,plansfull,planseduc,sectorcons,sectortradesales,sectortransware,sectorhosprest,sectorinfocom,sectorfininsur,sectorconsult,sectoreduscience,sectorhealthsocial,typegenstratman,typemarketing,typecontrol,typefinance,typesales,typetechengin,typehumanres,posmanager,age,swiss,hassiblings,motherhighedu,fatherhighedu,motherworkedfull,motherworkedpart,matwellbeing,homeowner,treatmentinformation,treatmentorder
6,14,110,120,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,20,1,1,0,0,0,1,3,1,0,0
5,8,120,130,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19,1,1,1,1,0,0,3,1,0,0
6,10,80,100,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,1,1,0,1,0,0,3,0,1,0
9,16,120,130,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,20,1,1,0,0,0,1,2,1,0,1
4,14,90,80,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,1,1,0,0,1,0,3,1,1,0
10,13,70,80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,0,1,0,0,0,1,2,0,1,0
9,12,90,90,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,1,1,1,1,0,1,3,1,1,0
9,10,90,100,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,1,1,0,1,1,0,2,1,0,0
16,10,100,100,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,22,1,1,0,1,0,0,2,1,0,1
10,13,50,50,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,21,0,1,0,1,0,1,2,1,0,0
8,14,100,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,0,1,0,0,0,1,2,1,0,1
9,12,100,90,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,22,1,1,0,0,0,1,2,1,0,1
9,12,100,90,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,21,1,1,1,1,0,1,3,1,1,0
4,6,100,100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,1,1,0,0,0,0,3,1,0,1
9,15,80,110,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,20,1,0,0,0,1,0,3,1,0,0
9,10,100,110,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25,0,1,0,0,1,0,2,0,1,0
8,8,100,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,1,1,0,1,1,0,2,0,0,1
16,16,80,80,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,24,1,1,0,0,1,0,2,0,0,0
8,11,120,130,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,19,0,1,1,1,1,0,2,1,1,0
4,6,100,120,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23,0,1,0,0,1,0,2,0,0,1
4.5,5,120,130,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1,0,3,0,0,0
9,16,80,70,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27,1,1,1,1,0,1,3,1,1,0
5,10,100,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,1,0,3,1,1,0
13,7,90,90,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,20,1,1,1,0,1,0,3,1,0,1
9,14,90,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19,1,1,0,0,0,0,2,1,0,0
7,14,80,90,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,19,1,1,0,0,0,0,2,1,1,0
8,10,90,100,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,1,1,0,0,0,1,2,1,0,1
7,9,100,120,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,21,1,1,0,0,0,1,2,1,0,0
8,14,100,100,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22,0,1,0,0,0,1,3,0,1,0
16,16,70,80,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,20,1,1,0,0,0,0,3,1,0,0
6,9,100,90,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,22,1,1,0,0,0,0,3,1,1,0
7,9,90,80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,22,1,0,0,0,0,0,4,0,0,1
9,4,100,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,0,1,0,0,0
8,9,110,130,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,1,2,1,0,1
9,12,110,150,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,1,1,0,1,0,1,3,1,0,0
3,5,110,110,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,1,0,2,1,0,1
8,15,80,80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,1,0,0,3,1,0,0
11,16,80,90,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,20,1,1,0,1,0,0,3,1,1,0
5,8,90,90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,1,0,1,0,1,3,1,1,0
3,4,80,80,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,0,1,1,0,0,1
5,9,90,80,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,1,2,0,1,0
8,10,100,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,1,1,0,0,1,0,3,1,0,0
3,10,100,110,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20,1,1,0,0,0,0,3,1,0,0
6,7,110,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,1,0,1,0,0,2,1,0,1
6,10,125,135,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,19,1,1,1,0,1,0,3,0,0,0
6,10,120,120,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,1,0,0,1,0,2,0,0,1
7,10,110,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,1,1,0,0,0,0,2,1,1,0
5,5,120,70,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,3,1,0,0
3,4.5,110,100,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,23,1,1,0,0,1,0,3,0,1,0
6,8.5,150,70,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,1,1,0,2,0,0,1
4,8,110,120,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,1,1,0,1,0,0,2,0,0,0
1,4,70,70,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,24,1,1,1,1,0,0,4,0,1,0
7,9,100,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,21,1,0,0,1,0,1,2,0,0,0
6,8,100,100,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,1,1,0,0,2,0,0,1
5,6,110,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,0,0,1,0,3,0,0,1
2,3,90,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,1,0,0,0,0,3,1,0,1
2,6,120,140,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,19,1,0,0,0,0,1,4,0,1,0
3,5,140,150,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,20,0,1,1,1,0,1,3,1,0,1
3,5,120,140,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,24,1,1,0,0,1,0,1,0,0,0
2,9,120,120,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,22,0,1,1,1,0,1,2,0,0,0
10,13,90,90,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,22,1,1,0,1,0,0,3,1,1,0
6,9,120,130,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,22,1,1,0,1,1,0,3,0,1,0
4,5,100,90,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,22,1,1,0,1,1,0,3,1,0,0
4,5,90,90,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,2,0,0,0
6,8,110,100,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,1,1,0,1,0,1,3,0,0,1
7,9,80,90,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,1,1,1,0,2,0,1,0
6,9,80,70,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,1,1,0,0,0,1,1,0,0,1
10,11,110,110,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21,1,1,1,1,1,0,3,1,0,1
4,10,70,80,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20,1,1,0,1,0,1,4,1,0,0
8,13,80,90,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,0,1,3,0,1,0
2,4,110,90,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,1,1,0,0,0,0,3,1,0,1
2,5,100,100,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,0,1,1,1,0,0,4,0,0,0
5,10,100,90,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,0,1,3,0,0,1
5,11,80,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,21,1,1,1,0,0,1,3,1,0,0
4,8,120,120,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,20,1,1,0,0,0,0,3,0,1,0
1,6,120,120,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,21,1,1,1,0,0,1,3,1,1,0
2,8,110,110,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21,1,1,0,1,0,1,3,1,1,0
9,12,130,120,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,21,1,1,0,1,0,1,3,0,0,0
2,9,120,130,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,1,1,1,0,0,3,1,0,0
5,7,100,90,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,1,1,0,0,0,1,2,1,0,0
10,16,100,90,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,20,1,1,0,1,0,0,3,1,1,0
3,8,100,100,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,1,1,0,0,0,1,3,0,0,1
6,9,90,100,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,23,1,1,1,1,0,1,3,1,0,0
7,8,110,120,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,3,1,0,1
4,9,120,130,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,1,0,0,0
6,9,120,120,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,24,1,1,0,0,0,0,3,0,0,1
6,9,120,90,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,1,0,0,0,0,2,1,1,0
6,9,90,90,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,0,1,3,1,1,0
10,14,100,100,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,1,0,0,3,0,0,1
8,10,120,110,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,20,1,1,0,1,0,0,3,1,0,1
5,7,100,110,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,1,1,0,1,0,1,3,1,1,0
9,10,110,110,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,22,1,0,1,1,0,1,2,1,1,0
4,8,100,90,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,22,1,1,0,1,0,1,3,1,0,0
3,4,110,110,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,0,1,0,0,0,1,2,0,0,1
7,10,90,90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,1,0,3,0,0,0
1,6,100,130,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,20,1,1,1,0,0,0,3,1,0,1
10,13,100,110,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,21,1,1,1,0,0,1,2,0,1,0
4,5,120,140,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,1,0,2,0,1,0
7,8,120,110,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,20,0,0,1,1,0,1,3,1,0,1
4,7,120,130,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,1,3,1,0,1
4,8,130,130,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,23,1,1,0,1,0,0,3,0,0,0
3,6,120,120,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,1,1,0,0,4,1,1,0
4,7,110,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,1,2,1,1,0
10,14,100,100,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,28,0,1,0,0,0,1,0,0,1,0
2,4,100,100,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,1,1,0,1,0,2,0,0,0
5,7,70,70,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,27,1,0,1,0,1,0,2,0,0,1
8,10,90,100,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22,1,1,0,1,0,0,3,1,0,1
3,13,90,90,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,23,1,1,1,0,0,1,3,1,0,0
10,11,100,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,0,0,1,2,0,0,1
4,6,100,110,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,0,1,1,1,0,1,2,1,0,0
8,13,90,90,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,29,1,1,0,0,0,1,2,1,1,0
3,7,120,110,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,20,1,0,0,0,0,1,2,1,1,0
5,8,100,110,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25,1,1,1,1,0,1,2,0,0,0
8,11,120,120,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22,1,1,0,0,0,0,2,1,0,1
2,5,110,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,1,1,0,1,0,0,2,0,1,0
9,10,120,130,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26,1,0,1,0,0,1,3,0,0,1
5,7,110,110,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,20,1,1,1,1,0,0,3,0,0,0
6,9,100,100,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,0,0,0,0,2,1,0,1
3,5,80,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,2,0,0,0
4,9,120,140,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,1,0,1,3,1,0,1
2,4,120,110,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,21,1,1,1,1,0,1,3,1,0,1
10,11,110,120,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,1,1,1,0,3,0,0,0
5,7,110,110,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,2,0,1,0
4,9,110,110,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,22,1,1,0,0,0,1,2,1,1,0
5,6,100,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,1,1,1,0,2,0,0,0
3,5,100,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19,1,1,0,0,0,0,3,1,0,1
4,8,100,80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,1,1,1,1,0,1,2,1,0,0
6,7,100,100,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,21,1,1,0,0,0,1,2,1,0,1
6,8,100,100,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,21,1,1,0,1,0,1,3,1,0,0
10,11,90,90,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,25,1,1,0,0,0,0,1,0,0,1
3,5,100,110,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,0,1,0,1,0,1,3,0,1,0
9,11,100,110,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,21,1,1,0,1,0,1,2,1,1,0
1,4,120,130,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,0,1,0,0,3,0,0,0
9,12,110,110,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,0,0,1,0,1,0,0,1
9,16,120,120,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,1,1,0,1,0,0,3,0,1,0
9,10,120,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,0,0,3,1,0,0
8,12,120,120,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22,0,1,0,0,0,1,3,1,1,0
3,8,120,120,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,20,1,1,1,0,1,0,2,1,0,1
4,7,100,130,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21,1,0,1,1,0,1,3,0,0,0
